"BMI_9","BMI_10","BMI_11","BMI_12","BMI_13","BMI_14","BMI_15","BMI_16","BMI_17","BMI_18","BMI_19","BMI_20","BMI_21","BMI_22","BMI_23","BMI_24","BMI_25","BMI_26","BMI_27","BMI_28","BMI_29","BMI_30","BMI_31","BMI_32","BMI_33","BMI_34","BMI_35","BMI_36","BMI_37","BMI_38","BMI_39","BMI_40","BMI_41","BMI_42","BMI_43","BMI_44","BMI_45","BMI_46","BMI_47","BMI_48","BMI_49","BMI_50","BMI_51","BMI_52","BMI_53","BMI_54","BMI_55","BMI_56","BMI_57","BMI_58","BMI_59","BMI_60","BMI_61","BMI_62","BMI_63","BMI_64","BMI_65","BMI_66","BMI_67","BMI_68","BMI_69","BMI_70","BMI_71","BMI_72","BMI_73"
"Age_2",0.000130606753248004,0.00108273785320259,0.00571030122070108,0.022491488351234,0.062950396109184,0.126971913186767,0.186839635328835,0.196279931933171,0.151069042868818,0.0939656307177265,0.0549757699236077,0.0343859829222304,0.0211246974570829,0.0133216128922068,0.00999556176297664,0.00758181619268277,0.00586805897246383,0.00368723100670093,0.00133109789627264,0.000236486650887845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_3",0.000114829613094996,0.000945846315804164,0.00533372188503986,0.0221521689444181,0.063642403279341,0.128928019886155,0.188789345695978,0.198628378885347,0.153140179732727,0.09225185310442,0.050228612111071,0.0302751385736025,0.0188392526072765,0.0119270356196083,0.00939746718827378,0.00841777449986309,0.00740734328547609,0.00527188514189978,0.00285732918336564,0.00114370066429322,0.000269724957148431,3.79888257967528e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_4",0.000175937995158484,0.00146209053994367,0.00726416626413328,0.0261846908678661,0.0671050549117619,0.124647632252369,0.171595710056495,0.177092405865314,0.140891732911765,0.0920136796929128,0.0554764717230318,0.0354849281213734,0.0237216058434678,0.016262970671933,0.0128620451794835,0.0118318854640344,0.0109863619178179,0.00856275035337952,0.00569859148004626,0.00431733473711325,0.00347601693427463,0.00200748801833602,0.000709218350761146,0.000152414368755685,1.68154784739289e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_5",0.000245628078895881,0.00151752971300046,0.00702407153230064,0.023950871798908,0.0597305211062708,0.110582401532936,0.15404624644117,0.163179981822728,0.135509551405395,0.094588539487086,0.0623083848713421,0.042890283144007,0.0306609781822162,0.0230281024650784,0.0199529130356071,0.0193389817679397,0.0176220440570341,0.0128814123106353,0.0074673483955314,0.00449749965662357,0.00348192239586403,0.00266042295485822,0.00167177817014712,0.000815568316620031,0.000280488220385191,6.65291374195724e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_6",0.00207289532211932,0.00635689146228742,0.0162159523235563,0.0344342859094582,0.0609988493517079,0.0905386412178389,0.11346938555823,0.121602082992287,0.113591501287594,0.0951099287896448,0.074142271525164,0.0563025184137085,0.0435703824713843,0.0354547566828836,0.0304152441654762,0.0266775438361406,0.0228555337622072,0.0184380734211954,0.0137737774786232,0.00954864119123926,0.00622992347574779,0.00387031723464404,0.00226942352266254,0.00121175032794695,0.00056118793736685,0.000215834140877824,5.78660783964852e-05,1.45401196110772e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_7",0.00473772996427531,0.0106001937198353,0.0207824284437561,0.0358637100557972,0.0546960782539137,0.0741267108731169,0.0898395564699558,0.0981638554778233,0.0977361290727354,0.0899683754394307,0.0780348380574057,0.0652910491369028,0.0540575365029037,0.0452301759762128,0.038539829098249,0.033107158153537,0.0280273257215229,0.022822196809765,0.0175737311076677,0.0127240037639695,0.00871731216810807,0.00574813357598134,0.0037414905952661,0.00247534126231106,0.0017095542938994,0.00125394744024536,0.000980115368009385,0.000810943948125609,0.000696582107934749,0.000598251675245209,0.000489512707724978,0.000365703495697247,0.000242261668377252,0.000138002492224672,6.93475031323288e-05,2.98667728818337e-05,1.10208260594705e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_8",0.00577880862268927,0.0107550223129556,0.018654572309844,0.0298397766301368,0.0437097662565856,0.0584674757146926,0.0715263868057399,0.08048206972331,0.0840798244188341,0.0825215047091884,0.077067454779288,0.0693558950133817,0.0609427753615049,0.053030550910557,0.0462265950741157,0.0404346284832025,0.0350702643785539,0.0295858047395333,0.0238970057410138,0.018405544034436,0.0136746869615048,0.0100745425898222,0.00763367609126247,0.00610063269925088,0.00510579299664908,0.0043244793235164,0.00357805131030627,0.00283759571752135,0.00215277959672123,0.00157324271442167,0.00111486479210818,0.000765943621226637,0.000507128487943724,0.000318734052402716,0.000192075663394024,0.000108776805627079,5.77230728604168e-05,2.86223896558524e-05,1.32344416336611e-05,5.690652608062e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_9",0.00663078983606078,0.0114187963657409,0.0182490616751227,0.0270946059176343,0.0374307803629705,0.0482497874857723,0.058260734603723,0.066229643603273,0.0713032592246356,0.0731995854497452,0.0721738953993191,0.0688522723583533,0.0639896113672924,0.0582695293690239,0.0521826789608491,0.0460021081708039,0.0398489566693982,0.0338064282743677,0.0280151594487174,0.0226946367911965,0.0180851292346657,0.0143504753855282,0.0115111057754535,0.00944248393922871,0.00793418413705432,0.00676990278542197,0.00578925680375054,0.00490892186385672,0.0041053635144393,0.00338056926123628,0.00273589262140231,0.00216450278856708,0.00165793889071217,0.0012145769145042,0.000840658158868335,0.000544168366663398,0.000326892289287099,0.000181270075623607,9.24601558917137e-05,4.33067161147661e-05,1.86189877302842e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_10",0.00455621893136007,0.00816217079221552,0.0135166711326838,0.0207464592743958,0.02960804186322,0.0394466313426324,0.0492962010093062,0.0581002155819853,0.0649645641631115,0.0693301119619897,0.0710327305183097,0.0702329375492097,0.0673283509834654,0.0628121992876153,0.0571824729516469,0.050883791343723,0.0442924142419412,0.0377390171742843,0.0315287441431822,0.0259371225458324,0.0211667498734933,0.0173040732358834,0.0143041951541393,0.0120139994879248,0.0102372353206929,0.00879420366762818,0.00755985098113933,0.00646868330877968,0.00549447154201684,0.00462489362400348,0.00384685430571619,0.00314342544614858,0.00250284977950314,0.00192366437419526,0.00141458602484014,0.000987853792478286,0.000651318611049369,0.00040340245748108,0.000233884745498414,0.000126384907489726,6.34588598016928e-05,2.55558941559878e-05,1.13378138304523e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_11",0.00279290276370421,0.00536077967874489,0.00950009945264287,0.0155530966347567,0.0235637189901363,0.0331458902938437,0.0434872141703043,0.0535124797021649,0.0621412421668609,0.068519086094523,0.0721577213497743,0.0729547239863682,0.0711487823259478,0.067198613203756,0.0616606373281794,0.0550783797365037,0.0479366822341774,0.0406818070270936,0.033745385194031,0.0275316734024593,0.0223407430501767,0.0182892428032705,0.0152784517979484,0.0130503721359045,0.0113010842231647,0.00978720921691681,0.00837968839389034,0.00705705721491519,0.00585088730650418,0.00479403665380847,0.00389002253168313,0.00311750902608871,0.00245118350759448,0.00187879933284331,0.00140207255440781,0.00102570796140063,0.000745067826933514,0.000543285712096294,0.000397063632231268,0.000285729812426284,0.000197161863517515,0.000127157151162529,7.51157955931991e-05,3.60451830711889e-05,1.77217455226986e-05,7.70434954486014e-06,2.96348141001934e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
