"BMI_9","BMI_10","BMI_11","BMI_12","BMI_13","BMI_14","BMI_15","BMI_16","BMI_17","BMI_18","BMI_19","BMI_20","BMI_21","BMI_22","BMI_23","BMI_24","BMI_25","BMI_26","BMI_27","BMI_28","BMI_29","BMI_30","BMI_31","BMI_32","BMI_33","BMI_34","BMI_35","BMI_36","BMI_37","BMI_38","BMI_39","BMI_40","BMI_41","BMI_42","BMI_43","BMI_44","BMI_45","BMI_46","BMI_47","BMI_48","BMI_49","BMI_50","BMI_51","BMI_52","BMI_53","BMI_54","BMI_55","BMI_56","BMI_57","BMI_58","BMI_59","BMI_60","BMI_61","BMI_62","BMI_63","BMI_64","BMI_65","BMI_66","BMI_67","BMI_68","BMI_69","BMI_70","BMI_71","BMI_72","BMI_73"
"Age_2",9.67457431466698e-05,0.000659028552888782,0.00343390326833908,0.0150921030066146,0.0534816056331099,0.141418354660245,0.231187808071093,0.22536990214134,0.14518591730859,0.0764472349770486,0.0410873038060362,0.0215973427652122,0.0117855843682361,0.0088672055896946,0.00830998782007516,0.00654568169217616,0.00499897941510587,0.00281207447834711,0.00101572305166548,0.000408461341062807,0.000184790983489733,1.42613264829173e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_3",8.505897266296e-05,0.000620360297527404,0.00350732667032205,0.0165568816785991,0.0587632554326597,0.142879515155202,0.220523397158001,0.215833487852687,0.146278712393011,0.078741063730227,0.0413189739054256,0.021921588379334,0.0120906893810892,0.00792400656194496,0.00841634196445063,0.00917248082592571,0.0076880161155922,0.00417732611493737,0.00147197164360166,0.000375840907560935,0.000147818525333131,1.31621889266999e-05,2.19646575647693e-07,1.69326988338657e-05,0.000364475223764219,0.00087601908015165,0.000235077495654012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_4",0.000130324440858136,0.000800909088007248,0.00404578054318896,0.0173045645233383,0.0586864779356351,0.140088095019789,0.212190809096248,0.202590174877488,0.135559392416842,0.07664604186745,0.0444305227089921,0.0278398875657371,0.0186049380932136,0.0118582751978281,0.00900046862241496,0.00929504995833103,0.0100632746429839,0.00738958833119875,0.00410447103629993,0.00318550459082379,0.00229187268058828,0.000985445729229529,0.000837904946800136,0.000657246964310448,0.000414748310652959,0.000774393033924994,0.000223837777826031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_5",0.000134936384649619,0.000763012273450471,0.00360872678854161,0.0149923480641397,0.052414323033859,0.129539430794354,0.198174074064603,0.1902221900488,0.130359621577323,0.0831426190300159,0.0531655086378646,0.0341434174569546,0.02487323235723,0.0167963638164935,0.0129959173697363,0.0138653894875122,0.0144229349034439,0.0105952403093627,0.00572887681508401,0.00360958870772552,0.00218090353679926,0.00131121017338992,0.00108373897775234,0.00061978025964704,0.000361457687247754,0.000701268321476411,0.000193889122543495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_6",0.00109476935720913,0.00321638224675362,0.0085781257675361,0.0226912474470578,0.0573211603861566,0.116089425568692,0.162671690709944,0.156108818551085,0.117774315153595,0.0856045495615861,0.0616045565644008,0.0454678081939157,0.0356365103618591,0.0261299169364314,0.0210242820084843,0.0197681842860203,0.0178383855109534,0.0138825704298808,0.00957465274618612,0.00639534087548442,0.00415931614526131,0.00262204006229561,0.00157354478627768,0.000897956861171744,0.000817282484587614,0.00100126842561773,0.00041005195959266,4.58466119643795e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_7",0.00193671614891073,0.00465477368495034,0.0108646129926538,0.0254498812783684,0.0553672492537195,0.0979360195042962,0.13010084565268,0.131992000461845,0.112440518221979,0.0892757736972422,0.0691603281730908,0.0539943198049484,0.0431941575193991,0.0350032442915966,0.0295228011526208,0.0259620390225433,0.0223519606003411,0.0178261569743744,0.0131074955359429,0.00907072437401727,0.00622508398910558,0.00448399399602725,0.00308187336047889,0.00196922676205138,0.00163559611930765,0.00155915517623929,0.00102286064198207,0.000456725859631974,0.000197297063478233,9.31261333619297e-05,4.21721344359514e-05,1.60977756886974e-05,5.17264269169222e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_8",0.00165670907909004,0.00451652859976705,0.0114982619927541,0.0262124362840644,0.0507420690585154,0.0805017739190571,0.104128716174063,0.112562962404012,0.1064858697282,0.0927363090313224,0.0772817430084371,0.0631710699856665,0.0513715027904145,0.0420585373365139,0.035284869147063,0.0304479879651623,0.0262483355890661,0.021771653055763,0.0171050099348256,0.012782119924428,0.00914683157967134,0.00632655868376826,0.00434448463402341,0.00318165668404912,0.00266897866948107,0.00231991107045334,0.00172311666951224,0.000996738758017448,0.000457938781614846,0.000180951846657594,6.06862651509022e-05,2.13471925528804e-05,6.33415686143671e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_9",0.00339152387143352,0.00729071999934066,0.0146521938493348,0.0267996306449884,0.0435889628059249,0.0624003005421993,0.0787780555385349,0.0887876699156444,0.0910819175347844,0.0870416880098124,0.0792068672054162,0.0698174971452251,0.060237614432605,0.051210278368282,0.0432256747703995,0.0365092985984723,0.0308811814305862,0.0259390773204872,0.0214027642674486,0.017233227571352,0.0135248335079507,0.0103980912500023,0.00794636868641295,0.00617414104146387,0.00494554832490739,0.00402378311921678,0.00321641855755342,0.00248708670208924,0.0019054002345707,0.00150847634842932,0.00124043298915548,0.00101089890793851,0.000775137967613598,0.000546990968480969,0.000356909063293606,0.000218105972782033,0.000125289531905161,6.61426493172263e-05,3.29197432140825e-05,1.48358233145668e-05,6.04478811644293e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_10",0.00296316898945056,0.00631389257353556,0.0123862076611767,0.0220315572364521,0.0351772716613941,0.0502704619412239,0.0645708702506704,0.0753506881310151,0.0811184974889979,0.0819400587702443,0.0788644072117355,0.0731687222385613,0.0659578908529453,0.0581397479171656,0.0504358727547138,0.0432960454483159,0.0368514414264898,0.0310404021602623,0.0257888791670504,0.0210885406617108,0.016978173061085,0.013505317525039,0.0106968797268177,0.00852152351995494,0.00687835207875325,0.00562615569583955,0.00463587543514233,0.00382454656865354,0.00314798328820417,0.0025737665115853,0.00206790949755547,0.00160522314182194,0.00118294422656349,0.000817533506782537,0.000527089070825187,0.000316870187369441,0.000177636970173611,8.9951904562336e-05,4.40272803295656e-05,1.96453383758743e-05,7.97092145489574e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_11",0.00218964341649167,0.00489625324274687,0.00980638401664357,0.0176020226746513,0.0283731083217223,0.0412506053262904,0.0544901541095067,0.0660340158162504,0.0742522894002151,0.0783666432620843,0.0785416193115039,0.0754970706273182,0.0702043942923333,0.0635986879008863,0.0564025782040164,0.0490601658232943,0.0418139499982046,0.0348600708281858,0.0284396667304364,0.0228273081848413,0.0182296198260831,0.0147093401011501,0.0121630311697804,0.0103446212723403,0.00894868649526421,0.00771515638235599,0.00651408095958038,0.00534846661535088,0.00427993038408396,0.00335137336154586,0.00256317561469118,0.00189610116383288,0.00134125743282946,0.000903770897458953,0.000588143811472482,0.000385467542146875,0.000270639329912882,0.000211258600287004,0.000178978038769579,0.000157676654938216,0.000145010320592699,0.000145967666647267,0.000162414418880889,0.000185750438246244,0.000199122565028451,0.000188535239011891,0.000153165502943029,0.000104819819689883,6.11602256329017e-05,2.99983753851103e-05,1.23602130946747e-05,4.28807334938463e-06,0,0,0,0,0,0,0,0,0,0,0,0,0
