"BMI_9","BMI_10","BMI_11","BMI_12","BMI_13","BMI_14","BMI_15","BMI_16","BMI_17","BMI_18","BMI_19","BMI_20","BMI_21","BMI_22","BMI_23","BMI_24","BMI_25","BMI_26","BMI_27","BMI_28","BMI_29","BMI_30","BMI_31","BMI_32","BMI_33","BMI_34","BMI_35","BMI_36","BMI_37","BMI_38","BMI_39","BMI_40","BMI_41","BMI_42","BMI_43","BMI_44","BMI_45","BMI_46","BMI_47","BMI_48","BMI_49","BMI_50","BMI_51","BMI_52","BMI_53","BMI_54","BMI_55","BMI_56","BMI_57","BMI_58","BMI_59","BMI_60","BMI_61","BMI_62","BMI_63","BMI_64","BMI_65","BMI_66","BMI_67","BMI_68","BMI_69","BMI_70","BMI_71","BMI_72","BMI_73"
"Age_2",2.36490998897778e-05,0.000189931483539057,0.00154786419797636,0.0097543074102183,0.0437346484102292,0.121150197953888,0.206715222122171,0.242496898812356,0.185265982575329,0.0863155052845901,0.0326804517353334,0.0173850939163785,0.0117276473000318,0.0073698027505158,0.00750867673295299,0.00795125711974704,0.00469722505586239,0.00243470288292394,0.00375065051122836,0.00336429420908915,0.00134083426163607,0.000938889074238512,0.000859311855095096,0.00053633085126195,0.000210814849933416,4.9809543585235e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_3",2.49913354996854e-05,0.000201531874536394,0.0016809678020247,0.0108653656990951,0.0442562950855359,0.113590620584651,0.195555039512769,0.233890926937142,0.184095972442371,0.0920077873155254,0.0368689732821208,0.0195875556741598,0.0131237698808853,0.00851801543847554,0.00892936680205577,0.00846527035884773,0.0063842472994304,0.00550427016505432,0.00657161329226753,0.00482151448897837,0.00208313717559318,0.00130681967487983,0.000924291213112813,0.000506788218241287,0.000190202205679017,4.4666241068115e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_4",2.25366744932302e-05,0.000182784593182816,0.00172260233278839,0.0109274692521079,0.043559005940404,0.108027141574539,0.179827091803018,0.21661295245188,0.182500355041369,0.102668441569462,0.0479494464159412,0.0275569737848127,0.0199264317648629,0.0116688000481521,0.00921346776928741,0.00918309583146492,0.00817695296673509,0.00611056607568356,0.00565507593263382,0.00408748374045835,0.00186791208651854,0.00113910252061915,0.000783344088918429,0.000430223869565048,0.000162296519997839,3.8445351105149e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_5",4.7866259964102e-05,0.000344515470749394,0.00225465061187833,0.0120783575845067,0.0436445555330422,0.103019716671061,0.169164583406371,0.201653095298499,0.16833044722902,0.0984828202760584,0.0514419574524834,0.034566767387477,0.0283725143516134,0.0212560485939862,0.017369354917873,0.0138867522476822,0.00976501643487361,0.00691093581510244,0.00644911893498965,0.00551667992284734,0.00286297459371617,0.00124840010484786,0.000699975936146863,0.000400862033824718,0.000171115812667654,5.08326647815684e-05,1.00844539363868e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_6",6.19201265953814e-05,0.000451770414655933,0.00273984157671783,0.0128936536281955,0.0422056829659473,0.094752687747391,0.152161977749857,0.180749308394743,0.15789939001846,0.103991356713358,0.0602921332065901,0.0404651317722416,0.0329950522023872,0.0261405314718691,0.0213394567925963,0.0186507559684652,0.0140439594659403,0.00984698987215341,0.00903304399432536,0.00806334040946034,0.00545272010887937,0.00281285891321885,0.0011570936834048,0.000527877839048896,0.000355050676275768,0.000327747992121592,0.000287193044398942,0.000187293893298026,8.382932985299e-05,2.52601555334994e-05,5.08987201699626e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_7",0.000541436741324124,0.00221114771767678,0.00777145705039006,0.0222199356493857,0.0503225979931251,0.0898743005468247,0.127255183057887,0.143808744669128,0.131321372396353,0.100516566136289,0.070428420054162,0.0511891532950983,0.0407120315403347,0.0336823579388274,0.0280233514667308,0.023377532969567,0.0192843058962021,0.0158651462120863,0.0130616948555059,0.0101053431659624,0.00687054295002994,0.00407554189920262,0.00223439480495814,0.00128227715243533,0.00086387622132819,0.000657984270671122,0.00052074021892421,0.00039445908260571,0.000302817526066466,0.000264401837186974,0.000260026439261466,0.00024742701324164,0.000202118876092876,0.000134815313935,7.22035215092672e-05,3.08864963831656e-05,1.05394034254565e-05,2.8676198826434e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_8",0.00215242873589666,0.00570117987175275,0.0135964416989416,0.0284066012736267,0.0511301570736681,0.0786485241628506,0.103220232732431,0.116058671349003,0.11325509886683,0.0984586079236086,0.0796134146929588,0.0629536179715069,0.0503161097961871,0.0407920152326254,0.0332898435597876,0.0272958457473331,0.0224750156911546,0.0184543453817471,0.0148987155657792,0.0116077008528205,0.00859124906123909,0.00602889127292969,0.00407576314637334,0.00271762958731237,0.00181202361883607,0.00121238303739461,0.000821258820354155,0.000575008959178663,0.000426106213255808,0.000336467073091286,0.000282329421597078,0.000238954340260084,0.000194565678201743,0.000146583159786671,9.9683938007274e-05,6.03653092876614e-05,3.23128192247576e-05,1.52336255912065e-05,6.31977379558874e-06,2.30296377429308e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_9",0.00270408589061324,0.00666775540785589,0.0144382986728396,0.0273258934813897,0.0452607936601568,0.0657784221259894,0.084356432643767,0.0962821631893603,0.099050657295045,0.0935511629902337,0.0830129438428357,0.0708685116615978,0.0592369380994554,0.0489018132197448,0.0400355149438777,0.0326706833927463,0.0267436331328894,0.0220218084488122,0.0181424400862767,0.014757890918906,0.0116826067389047,0.00892894290373642,0.00660542368992544,0.00480082104935294,0.003535095399169,0.00275510727640748,0.00232068517671403,0.00203272761915925,0.00172420132115131,0.00134547134474784,0.000953328209647162,0.000623878802192791,0.000388211954768772,0.000234124026929541,0.000127083015667159,7.21626671063748e-05,3.66776489535844e-05,1.65907785013193e-05,6.65515384377758e-06,2.36211872833522e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_10",0.00308769612665758,0.00707076998785053,0.0142644242116219,0.0254647657390793,0.0404205327051025,0.0573231656716318,0.0731034471576507,0.0845416893551564,0.0896271684981579,0.0883621967307821,0.082344944857592,0.0737125442239516,0.0642063894970194,0.0548519115840268,0.0461553074315101,0.0383790503288338,0.0316443819254773,0.0259295380078147,0.0210864946496043,0.0169255738086796,0.0133192978454565,0.0102441391470962,0.0077379005506851,0.00582126931611314,0.0044517147663422,0.00352518135687487,0.00290172361381713,0.0024435758369472,0.00205352065204487,0.00169127423234621,0.00136003372574291,0.00107839600244503,0.000861296712558647,0.000714716849169807,0.000631490976715358,0.000587486405321123,0.000547703841662687,0.000483989853350423,0.000390373520324498,0.000281975123677148,0.000181052657344053,0.000103169150343076,5.21316123639702e-05,2.334194666919e-05,8.2478746783223e-06,3.00393171027498e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_11",0.00302652503242398,0.006305247143315,0.0119442932852428,0.0205466440090577,0.0321152882504948,0.0457184839320652,0.0594871634331,0.0711401285374648,0.0788217225553266,0.0817269906909058,0.0802212972538911,0.0754164347963664,0.068573877075832,0.0607436184993448,0.0526661520874618,0.044833026352607,0.0375540909927222,0.0309945870772109,0.0252184316552072,0.0202467984024473,0.0160910253496947,0.0127696641372795,0.0102700961490942,0.00850672097284317,0.00731308604496569,0.00647700398047154,0.00578702850791176,0.00508664235028884,0.00431042729715642,0.00348630763148675,0.00269754373344855,0.00202778913662088,0.00152419498247636,0.00118687444274933,0.000983276349490045,0.000863631573772582,0.000776785583926369,0.000685459476326055,0.000574784569039696,0.000450186787962129,0.000327040491623206,0.000219925592965547,0.000136802476399296,7.85810895795481e-05,3.97572861043244e-05,1.96959891224684e-05,8.86695471366762e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
