"BMI_9","BMI_10","BMI_11","BMI_12","BMI_13","BMI_14","BMI_15","BMI_16","BMI_17","BMI_18","BMI_19","BMI_20","BMI_21","BMI_22","BMI_23","BMI_24","BMI_25","BMI_26","BMI_27","BMI_28","BMI_29","BMI_30","BMI_31","BMI_32","BMI_33","BMI_34","BMI_35","BMI_36","BMI_37","BMI_38","BMI_39","BMI_40","BMI_41","BMI_42","BMI_43","BMI_44","BMI_45","BMI_46","BMI_47","BMI_48","BMI_49","BMI_50","BMI_51","BMI_52","BMI_53","BMI_54","BMI_55","BMI_56","BMI_57","BMI_58","BMI_59","BMI_60","BMI_61","BMI_62","BMI_63","BMI_64","BMI_65","BMI_66","BMI_67","BMI_68","BMI_69","BMI_70","BMI_71","BMI_72","BMI_73"
"Age_2",2.00038580184964e-05,0.000412181879545462,0.00147546978353062,0.00520247136378223,0.031090330045582,0.122974086202665,0.24320808910989,0.266802554583017,0.17292529583089,0.080252576526307,0.0358926167418155,0.0193173342073569,0.00845393691368197,0.00233382245206321,0.00272179165487725,0.00252839555867621,0.0013964177131901,0.000158580961717451,0.000306248456472518,0.000706256122948616,0.000931795353088287,0.000819907833070839,6.98368478132787e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_3",1.4886994799472e-05,0.000344475751867185,0.00128384206771898,0.00534133285623954,0.0331700198055935,0.123814599944358,0.24246433017659,0.260612098039774,0.167744315007693,0.0749712905103326,0.0334558790893953,0.0197552405166176,0.0126673632722279,0.00716762250399944,0.0076533426602128,0.0046419508467686,0.00171269773491192,0.000706043848784515,0.000349151508035791,0.000599666527220405,0.000782835533531758,0.000693899338117419,5.31154652106277e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_4",1.61273522708321e-05,0.000309723782406497,0.00115127935305981,0.00534505201459741,0.0333188443898984,0.121529750536327,0.237098053253709,0.250922293451215,0.161140858657341,0.0762688418703834,0.0379651339297538,0.0265332338924257,0.0159825678228781,0.00919485949763656,0.00851860506157435,0.00521485560460781,0.00202673882175131,0.00174701468064982,0.0022504204830308,0.00193478096905826,0.000876233069359967,0.000600250110244607,5.44813958197846e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_5",1.27521414778162e-05,0.000268921479981706,0.00101160554397024,0.00477072585563109,0.0302292421876877,0.11288720243822,0.229094743599251,0.250222536740302,0.165739926690919,0.0812506354730298,0.0384964312207673,0.028071038780619,0.017524916393716,0.00872147986524103,0.00793732513593677,0.00650981982313775,0.00423112447955939,0.00297798856861242,0.00433554567335227,0.00242033014758447,0.000782408799245505,0.000531257046490126,4.37793289860455e-05,3.18746229989747e-07,8.31754393634413e-06,0.000283722975284639,0.000988743586302617,0.000586313808223505,6.08459263048724e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_6",1.35956540270368e-05,0.000247433933443764,0.00103055003666062,0.00524008862144385,0.0292714823856049,0.106299249115495,0.214660520004154,0.241530605621467,0.167734310545632,0.086498727557449,0.0411954171117956,0.0277602278812965,0.0202736222878053,0.0150343659198143,0.0118144634241463,0.00746564635450151,0.00497027234394878,0.00347243659357776,0.00511938001933211,0.00391419455584031,0.00218108881182012,0.00127059323096697,0.0002519470234766,0.000631518175227859,0.000403753219634884,0.000283645907675097,0.000853948098561614,0.00051716014526784,5.97554199330442e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_7",0,0.00012012324602054,0.000903554476807122,0.00567747990023167,0.0309957872978454,0.103530251380813,0.197209777027219,0.218542486535401,0.158008594131517,0.0893039405304818,0.0505399507445807,0.0339801000471273,0.0253813373263471,0.0202031537500116,0.0149379422842229,0.00986707280008622,0.00745107855646912,0.00699355583972081,0.00836180866868001,0.00645142909351959,0.00414096160584678,0.00250187790593039,0.000597920541852822,0.000669530186368634,0.00044883127333908,0.000543891339583006,0.00155827890168147,0.00095534907161887,0.000123935536678213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_8",3.5235592540562e-05,0.000301477382501604,0.00190428500612328,0.00996628503839101,0.0380373675586108,0.0974308358458134,0.163067930060249,0.183119172096675,0.148871794169092,0.0993565373308264,0.0634519145278695,0.042508787141485,0.0310802857217455,0.0241943317301511,0.0183856449792924,0.0135726041554539,0.0110378082170001,0.0106985368772286,0.0105475131980739,0.00854722605241212,0.00686780042898139,0.00540699524704244,0.00300068845394106,0.00141782962364021,0.000752879504253531,0.000775611125522799,0.00118371859258783,0.000928321042596298,0.000537513348149225,0.000744996815587324,0.000902999583230821,0.000764696435934668,0.000455102657360854,0.000130494490906018,1.47799687300711e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_9",5.56308372221494e-05,0.000504813042104069,0.00303304288233434,0.0127919733936522,0.0387795712398773,0.0847160983015622,0.133103771735793,0.15444796800774,0.140355758742568,0.108298028313093,0.0770958308804056,0.0545716045475584,0.0408173298275034,0.0318923540715015,0.0243059468127403,0.0178438699413657,0.0139770508599143,0.0125281841399615,0.0114586243520865,0.00954679289560191,0.00754148376074651,0.00575390098824579,0.00392278287361258,0.00245613538965457,0.00157068802533713,0.00131890378205479,0.00131953002228398,0.00103645588147493,0.000755720214345117,0.000819626243798314,0.000911578935309216,0.000774841082109936,0.000474420140064995,0.000186174320000078,4.24737589382689e-05,5.37309265395838e-06,6.37002238000902e-07,4.00800010629323e-06,3.07782662558782e-05,0.000125030401719015,0.000268658672998896,0.000305171809177892,0.000183330281420765,5.82770816229878e-05,9.77514924446128e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_10",0.000426147358996499,0.00186538175967285,0.00646478105265967,0.0179001273479484,0.0398648965373949,0.071589548022693,0.103888772311186,0.123226966910948,0.12292548668117,0.107608968114235,0.0868973756234873,0.0677936023656663,0.0527702300416562,0.0409455079719333,0.0311855967039846,0.0236039942123394,0.0186212568771327,0.0157231454918436,0.0136889594201277,0.0116337344373136,0.00941115255461545,0.00726604405425173,0.00539890473543339,0.00388706808283449,0.00274609289623803,0.00200270994735282,0.00157966287514751,0.00131829863265765,0.00115810651684526,0.00107135257826081,0.000970247363939264,0.000789656458161316,0.00056149379656053,0.000386816454593579,0.000318417580931846,0.000308606933905238,0.000305451453910692,0.000307928319495654,0.000321739828127023,0.000333684097564166,0.000326264375815125,0.000278614295835375,0.000189013125911428,9.51463147213107e-05,3.43031489368848e-05,8.74433556475513e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_11",0.000558386891625338,0.00208557199573746,0.00639345374048295,0.0161125176081487,0.0335267574279757,0.0579530755316903,0.0838148308304862,0.102750624999026,0.109235466013162,0.10396763980869,0.0918922582468678,0.0779834282630886,0.0647973127632767,0.0527859403977173,0.0419384203825155,0.0326121099918967,0.0252867906889918,0.0199473018657956,0.0159894795197508,0.0127873979242393,0.0100465208448013,0.00773017367465429,0.00587937519883619,0.0044532914875379,0.00336676481766339,0.00258545096409615,0.00205575517554393,0.00167625793879136,0.00138868465257652,0.00117612742659596,0.00100067529295587,0.000824389775235754,0.000663174512429611,0.000567466072359386,0.000540216033431753,0.000520860263228899,0.00046859948221644,0.000404818355302162,0.000363956404902691,0.000349829124067981,0.0003437545663054,0.000325946074657507,0.000287160788618473,0.000230104420716451,0.000163159336443375,9.79606635841667e-05,4.75269623929455e-05,1.80124115824309e-05,5.22238730710092e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
