"BMI_9","BMI_10","BMI_11","BMI_12","BMI_13","BMI_14","BMI_15","BMI_16","BMI_17","BMI_18","BMI_19","BMI_20","BMI_21","BMI_22","BMI_23","BMI_24","BMI_25","BMI_26","BMI_27","BMI_28","BMI_29","BMI_30","BMI_31","BMI_32","BMI_33","BMI_34","BMI_35","BMI_36","BMI_37","BMI_38","BMI_39","BMI_40","BMI_41","BMI_42","BMI_43","BMI_44","BMI_45","BMI_46","BMI_47","BMI_48","BMI_49","BMI_50","BMI_51","BMI_52","BMI_53","BMI_54","BMI_55","BMI_56","BMI_57","BMI_58","BMI_59","BMI_60","BMI_61","BMI_62","BMI_63","BMI_64","BMI_65","BMI_66","BMI_67","BMI_68","BMI_69","BMI_70","BMI_71","BMI_72","BMI_73"
"Age_2",1.11132544547202e-05,0.000283118176265123,0.00110473495832109,0.00444880069705456,0.0313252204405815,0.124375349441956,0.250351042043166,0.263883064841666,0.17336083222031,0.0765872488406727,0.0326188211018356,0.0220503460279822,0.0084106883777563,0.00173425421722487,0.00293178296381265,0.00340518833075112,0.00141439659195773,0.000129528244568297,0.000170138031373621,0.000392364512749231,0.000517664085049048,0.000455504351706022,3.87982487851548e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_3",8.27055266637331e-06,0.000243505187809512,0.00124378318626751,0.00651696896412142,0.035684578640898,0.129425845742436,0.248641488727861,0.253068999927053,0.165252039167065,0.0731099928044424,0.0337409089614709,0.0240146433848316,0.0113573145875686,0.00469916845594882,0.00545925211246269,0.0042395371274124,0.00148830124419047,0.0004283632409854,0.000193973060019884,0.000333148070678003,0.000434908629739866,0.000385499632287455,2.9508591783682e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_4",8.95964015046226e-06,0.000216340055685553,0.0011091293076422,0.00625325839164523,0.0345543085953993,0.125217345100898,0.244565048004934,0.247733776402341,0.161583755999308,0.074938058139067,0.0381613420736501,0.0301689315224948,0.0137622322609362,0.00579805523562467,0.00579454697071045,0.00436716654430324,0.00159189663535669,0.00100020132678871,0.00125023360168378,0.00107487831614348,0.000486796149644426,0.000333472283469226,3.02674421221025e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_5",7.08452304323122e-06,0.000185495539710788,0.00104569402829189,0.00679252287039757,0.0347075757368608,0.119782142619469,0.234578376569527,0.245069149360816,0.164485611780086,0.0798600840052482,0.0386462504218935,0.0298960947558976,0.0146712854326746,0.00565048806296228,0.00592543316159571,0.00575001456504444,0.00469106600466045,0.00261716174755921,0.00246844775393443,0.00134462785976915,0.000434671555136391,0.000295142803605625,2.43218494366919e-05,1.77081238883193e-07,4.6208577424134e-06,0.000157623875158133,0.000549301992390343,0.000325729893457503,3.38032923915958e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_6",7.55314112613153e-06,0.000172577982638695,0.00103476375023911,0.00671692726981262,0.0328416348453616,0.113093885659493,0.222715549163015,0.238809575092045,0.166821627177435,0.0874295138869556,0.0432864980765327,0.0289725857207545,0.0158367548742934,0.00935921540081518,0.0081635417560742,0.00610449046356179,0.00488589792543329,0.00326388344587263,0.00412504183934998,0.00272874176830022,0.00125622897158784,0.000705885128314984,0.000139970568598111,0.000350843430682144,0.000224307344241602,0.000157581059819498,0.000474415610312008,0.000287311191815466,3.31974555183579e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_7",0,0.00010549735642756,0.00099425185849269,0.00694769842924078,0.0335119850782768,0.109876110864333,0.207444589485541,0.227067442711091,0.16600066889133,0.089856404801896,0.048273693539248,0.0306202867719473,0.0185625621525559,0.012959848474297,0.00999497176691445,0.00757217546425105,0.0067413906853322,0.00567191274867771,0.00598096595010739,0.00414093800133582,0.00235197239256397,0.00143378617395149,0.000737343180241786,0.000986615004047592,0.000399413301475488,0.000302161855323892,0.000865710500934148,0.000530749484232705,6.88530759323405e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_8",2.35406860492711e-05,0.000237718478795001,0.00177186392900875,0.00989617241066706,0.0385180484356023,0.102908184321459,0.17504392374367,0.197416993140086,0.162019660217166,0.10588989025592,0.0623274386494878,0.0364594277671283,0.022870498647585,0.0164474272799619,0.0129073542491727,0.00998631767616536,0.00849279834438245,0.00776255780245572,0.00708822037855043,0.00531174712226492,0.00390790540648594,0.0030881434068618,0.00218378492726173,0.00188404828679098,0.00122280507885058,0.000619260165700822,0.000670180043050246,0.000515962252641444,0.000298800876294051,0.000421689473665141,0.000587658661693258,0.000670431242190329,0.000434204840668372,0.000107130708528088,8.21109373892838e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_9",3.09060206789719e-05,0.000343290414303246,0.00244253332098717,0.0113816532625827,0.0374107420615593,0.0893463357549498,0.147651188678817,0.174144776745487,0.157538923320503,0.117329916409134,0.0769041358536645,0.0472492276443956,0.0305083756524648,0.0221118674513945,0.0167607162776834,0.0128591556444709,0.0112640583790675,0.0103894998835879,0.00836795783998952,0.00601324248440518,0.0043253711186747,0.00331401670019848,0.00270652073431333,0.0023700918950261,0.00164100280775154,0.000957914133886881,0.000756754643254201,0.000576668342508388,0.000420438698856015,0.000468252772314394,0.000599996476761246,0.000652519425180332,0.000436541160958215,0.000147532101283194,2.7298245884736e-05,2.98505147442132e-06,3.53890132222723e-07,2.22666672571846e-06,1.70990368088212e-05,6.94613342883416e-05,0.00014925481833272,0.000169539893987718,0.000101850156344869,3.23761564572155e-05,5.43063846914516e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_10",0.000236748532775833,0.0011645913299691,0.00457783909387463,0.0143670024417574,0.0365371847297265,0.0752128883546753,0.120151632327191,0.148470562493738,0.146738776350277,0.122415366867114,0.0902444414731654,0.0611776166929822,0.0416088537919815,0.0295943044425663,0.02155884520192,0.0166077656253218,0.0141016797767458,0.0121013234341531,0.00960856076655705,0.00724107749980046,0.00542611259727593,0.00420204443476854,0.00351795043402836,0.00303490294945004,0.00222763762416519,0.00137410754031273,0.000921378945729466,0.000735660103872499,0.000645347231211226,0.000615914315853524,0.000636077999743062,0.000629257324827692,0.00046870565970587,0.000268959637609011,0.00018471740304994,0.000171448296614021,0.000169695252172607,0.000171071288608697,0.000178744348959457,0.000185380054202315,0.000181257986563958,0.000154785719908541,0.000105007292173016,5.28590637340615e-05,1.9057304964936e-05,4.85796420264174e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_11",0.000346728286595857,0.00144919199163691,0.00500104198111434,0.0140036292015564,0.0322443544964804,0.0613507854197092,0.0956911922024172,0.122438764670746,0.130570857020839,0.119640034926341,0.0980103803280852,0.0753273839316918,0.0567470795485193,0.0424164138650693,0.0317498495521558,0.0242984487569125,0.0191496278363543,0.0151576339026236,0.0117129129367462,0.00912543174262261,0.00726360945656007,0.00560808392857927,0.00434966331383306,0.00354817323750535,0.00273471269849427,0.00187044774326743,0.00126784804277143,0.000952223225579373,0.000779206885262522,0.000686959742552566,0.000657360641060319,0.000622633084968831,0.000511578478689475,0.000381860540720613,0.000316730412161074,0.000291582093056525,0.0002603330456758,0.000224899086278979,0.000202198002723717,0.0001943495133711,0.000190974759058556,0.000181081152587504,0.000159533771454707,0.000127835789286917,9.06440758018752e-05,5.44225908800926e-05,2.64038679960808e-05,1.00068953235727e-05,2.90132628172273e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
