"BMI_9","BMI_10","BMI_11","BMI_12","BMI_13","BMI_14","BMI_15","BMI_16","BMI_17","BMI_18","BMI_19","BMI_20","BMI_21","BMI_22","BMI_23","BMI_24","BMI_25","BMI_26","BMI_27","BMI_28","BMI_29","BMI_30","BMI_31","BMI_32","BMI_33","BMI_34","BMI_35","BMI_36","BMI_37","BMI_38","BMI_39","BMI_40","BMI_41","BMI_42","BMI_43","BMI_44","BMI_45","BMI_46","BMI_47","BMI_48","BMI_49","BMI_50","BMI_51","BMI_52","BMI_53","BMI_54","BMI_55","BMI_56","BMI_57","BMI_58","BMI_59","BMI_60","BMI_61","BMI_62","BMI_63","BMI_64","BMI_65","BMI_66","BMI_67","BMI_68","BMI_69","BMI_70","BMI_71","BMI_72","BMI_73"
"Age_2",0,0,0.00064063309849285,0.00724951579822862,0.0411974734439766,0.12478145016645,0.219448825598332,0.260240548660368,0.194800721759533,0.0819363348571571,0.0247469438317255,0.0119846911144013,0.00779297574226603,0.00336354259298469,0.00413344884382816,0.00551423216398647,0.00274111246299186,0.00132749665670041,0.00386271404141937,0.00351772907703795,0.000719610090119584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_3",0,0,0.000726524020579098,0.00837962314989136,0.0413839705319332,0.114991834702015,0.205763004135836,0.25029488671928,0.194259663936549,0.0898806537875707,0.030606342159892,0.0150277670059705,0.00961709767161337,0.00498058943278788,0.00631976218370484,0.00662253351525814,0.00506335015443255,0.00483263966179742,0.00644565701018865,0.00412459276911096,0.000679507451588376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_4",0,0,0.000891375221546307,0.00882246566943131,0.0413271393966391,0.109320238038673,0.187462167374758,0.229496981782286,0.192231700505979,0.102678840452227,0.043769014478332,0.0241263324085995,0.0170722669872123,0.00787310073928794,0.00582821056300493,0.0069223887542987,0.00696881416210119,0.00553227220588203,0.00545600579742216,0.00347736457642227,0.00070330743283418,4.00134530622505e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_5",0,6.23365737229818e-05,0.00117712095284659,0.00974622252840875,0.0416159135451649,0.105136960515313,0.178104973359337,0.214854672857542,0.176662475747449,0.0972281175398693,0.0464170317833791,0.0308787837391806,0.02614660798862,0.0188589844770734,0.0151023389044977,0.0117398923019023,0.00773812279404747,0.00539399730285202,0.00573087187498872,0.005055478754565,0.0020304486617131,0.000318647797526263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_6",0,0.000139865595575169,0.00169181967442931,0.0108206987438644,0.0404616149388301,0.096376229923217,0.159010355861938,0.190472290688265,0.16419665088911,0.103672035410045,0.056775405223874,0.0377914596219277,0.0316713779134811,0.0246930113440809,0.0197306945501386,0.0173550387305705,0.0126992849896928,0.00859310364033404,0.00847384199903233,0.00781017241221876,0.00494467145558801,0.00208760991420062,0.000482305037856639,5.04614417302004e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_7",0.000222155526493643,0.00140552293056088,0.00632352426891685,0.0206721938280045,0.0503404425080258,0.0934470642694817,0.134693918963773,0.152501452731123,0.137318103392238,0.101877766979947,0.0684872368058773,0.0484511669081235,0.0384981296914287,0.0319834839597016,0.0266024720506114,0.0221698728136262,0.0182297109558179,0.0149538687495997,0.0122768110682284,0.00927915492581783,0.00585642640531197,0.00292699532310135,0.00111472964011908,0.000308629224416043,5.91660796545381e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_8",0.00121902840606897,0.00419447313933474,0.0117521255337265,0.0270675902248655,0.0516431106863842,0.0821438705506038,0.109613300630855,0.123692250562862,0.119776125740514,0.102287246732176,0.080707589612355,0.0622878369785356,0.0488872682372732,0.0391285579549794,0.0315810369019483,0.0256353606025766,0.020927168636739,0.0170266395108734,0.0135331589208058,0.0102140270857383,0.00711211846414104,0.00449116534610526,0.00257760353305852,0.00136631313784219,0.000672970997537788,0.000300369920272349,0.000115791302142451,3.66693262228709e-05,9.23132346210226e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_9",0.00221527844109575,0.00596203891992487,0.0137014981017075,0.0269778075491448,0.0458565940859436,0.0677008655862842,0.0875063715633878,0.100021976261654,0.102501936651666,0.0960666323913466,0.084434596346427,0.0714224365597905,0.0592377320082556,0.0485566551584336,0.0394444036940755,0.0319075890945489,0.0258952297488161,0.0211635110212712,0.0172984178999031,0.0138915514510177,0.0107333804230741,0.00786698944344605,0.00545926800549123,0.00364505238185367,0.0024587334855573,0.00183085235285595,0.00157940907551743,0.00145387129444564,0.00125315974234032,0.000930754401208809,0.000574513503161497,0.000290743427848654,0.000119882069381503,4.02678591233692e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_10",0.00315906881541873,0.00728736747590183,0.014765845716979,0.0264075920660634,0.0419036942310351,0.0592874557945254,0.0752964984446014,0.0865880043081048,0.0911852536508173,0.0892763022076892,0.0826868325575914,0.0736823814267867,0.0639942294670768,0.0545482530953075,0.0457620042800026,0.0378772336697146,0.0310517340177823,0.0253022062422928,0.0204779025062752,0.0163410643570047,0.0127132404913243,0.0095599912537929,0.00695564594534884,0.00497665229058445,0.00361693005572031,0.00277206491733783,0.00226996779754352,0.00193214146130397,0.00163568678701392,0.00133914463711134,0.00106037448948234,0.000831040145582837,0.000667112262456516,0.000564967489465953,0.00050641059408444,0.000463745001801576,0.000409547817993763,0.000330903132451711,0.00023630548282635,0.000146243330119207,7.76585513979314e-05,3.5231692139463e-05,1.3606638829635e-05,4.46340331592379e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_11",0.00272911840535561,0.00596630449915851,0.0117035404146923,0.0206373744489433,0.0328039552077195,0.0471905587448146,0.0617270874695881,0.0738911300001515,0.0816687727641596,0.0842587306930808,0.0821748547656967,0.0767187769933899,0.0692794207658824,0.0609541124806761,0.0524774619454376,0.0443266415628263,0.0368081443175159,0.0300879864783463,0.0242233156314719,0.0192211088459141,0.0150765992849803,0.0118013657610712,0.00938145529107379,0.00772697718366236,0.00665634712207221,0.00593311546930886,0.00531894015543232,0.00464160831016591,0.00384205893426726,0.00297535145759614,0.00215771022272109,0.00149294338475287,0.00102670524931182,0.000740784345593611,0.000582063017437864,0.000489731430827235,0.000415077435005569,0.000333177416387014,0.000242951827632022,0.000157241708762716,8.92382985837476e-05,4.41306669287603e-05,1.89655946165488e-05,7.06399698781342e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
