"BMI_9","BMI_10","BMI_11","BMI_12","BMI_13","BMI_14","BMI_15","BMI_16","BMI_17","BMI_18","BMI_19","BMI_20","BMI_21","BMI_22","BMI_23","BMI_24","BMI_25","BMI_26","BMI_27","BMI_28","BMI_29","BMI_30","BMI_31","BMI_32","BMI_33","BMI_34","BMI_35","BMI_36","BMI_37","BMI_38","BMI_39","BMI_40","BMI_41","BMI_42","BMI_43","BMI_44","BMI_45","BMI_46","BMI_47","BMI_48","BMI_49","BMI_50","BMI_51","BMI_52","BMI_53","BMI_54","BMI_55","BMI_56","BMI_57","BMI_58","BMI_59","BMI_60","BMI_61","BMI_62","BMI_63","BMI_64","BMI_65","BMI_66","BMI_67","BMI_68","BMI_69","BMI_70","BMI_71","BMI_72","BMI_73"
"Age_2",0,0,0.000906531092068615,0.00823040592377416,0.0417173722790365,0.125805926430459,0.218490919001356,0.224133135394729,0.161245665365374,0.10035716176378,0.0532624570541522,0.0252292866937249,0.0136985836408152,0.00838400943519325,0.0044595870659064,0.00245507477156378,0.00412517772774775,0.00478075355990281,0.00225526256328721,0.000429447050329238,3.32431867997863e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_3",0,0,0.00125928296197193,0.0104807695277254,0.0482714155647448,0.130956299852542,0.211438036271942,0.210043805970247,0.148942363051719,0.094179664000991,0.0554761898487811,0.0321207135848383,0.0211059482253409,0.0136228619805887,0.00632673506478405,0.00261736255592124,0.00334083586185907,0.00374951808591761,0.00186874863792524,0.000401991330290415,4.40278633090207e-05,9.84157262135137e-05,0.000569014360464382,0.00132877803790868,0.00123433219871147,0.000455954669457591,6.69347658058549e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_4",0,0.000166641292005418,0.00202980486280819,0.0135585659593242,0.0529717974483111,0.127379380251915,0.193687386814503,0.194382109060217,0.145738350017389,0.0971253636313421,0.0613007469072716,0.0371224185613772,0.0230747328231756,0.0154990174534313,0.0106649535460184,0.00767336612391743,0.00653648517666459,0.0049302181140265,0.00225300486465662,0.000539479458982407,7.70555409247871e-05,0.000121593478517951,0.000529900389114173,0.00108933872692309,0.00102329906614039,0.000438980235544411,8.60101954986318e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_5",0,0.000125010671134782,0.00166293522655325,0.0119186778688732,0.0493394327308724,0.12343277696703,0.192043394235078,0.194736366898029,0.144567875745215,0.0939517761484312,0.0602086344813964,0.0390703436667721,0.0264742556865197,0.018565751223883,0.0120707258719576,0.0084493898205493,0.00769996747463987,0.00599970485067617,0.00266578295654954,0.000591735758297612,8.8622390919371e-05,0.000243929596202954,0.00105589243594223,0.00211840499493297,0.00194507428228104,0.000816842240175713,0.000156695777088041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_6",0,0.000223592871125209,0.00233394977917043,0.0139158134309788,0.0501058040805296,0.114512700998166,0.17196687975213,0.177639425993861,0.140719548816649,0.101340894121466,0.0722920520030376,0.0498163803721859,0.0337034420262174,0.0225623086560116,0.014354687506574,0.0101651797715784,0.00881519359992168,0.00637628100587921,0.00281628435886649,0.000684807189608195,0.000121471712347162,0.000257952622360583,0.000944480162145547,0.00175912050343993,0.00163002522984294,0.000750711211341975,0.000171564076006395,1.94481485586614e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_7",0.000134676284079009,0.00107491763565476,0.00580313268226092,0.0215752888683356,0.0562794077821224,0.105136740087719,0.144156584054726,0.151168936767749,0.130706984280174,0.102755069919359,0.077905160455641,0.0568330652911571,0.0401079944359091,0.0283856171004068,0.0207350422328022,0.0158775198429308,0.0122126335131385,0.0083244337573184,0.00466413571768393,0.00261191890856483,0.00219295251902053,0.00228532830721379,0.00221809920257592,0.00198255036943929,0.00150491863774268,0.000833510823699293,0.000324612096788451,0.000170795804173568,0.000300877813540301,0.000523027053865564,0.000582715554301601,0.000403662360737266,0.000173637445245923,4.63753192736445e-05,7.67707465060792e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_8",0.000660723735118004,0.00294028564251303,0.00999737742434533,0.0262287683375735,0.0536641502812357,0.086867089351296,0.113578638519261,0.123783322093379,0.11747255545773,0.101875576968293,0.0837460005615858,0.0665325505002302,0.0517571936930054,0.0397961944396871,0.0301970116037507,0.0225305012432987,0.0166220552468998,0.0121749838331426,0.00882367949964082,0.00638761800124129,0.00478511260304359,0.00386555297128305,0.00342816792820762,0.00321143516494344,0.00285388246953379,0.0021484043476113,0.00130087515526248,0.000692710344871081,0.000467691272637386,0.000469322742368133,0.000466005774719629,0.000358753560042568,0.000202606021816041,8.31295549529962e-05,2.47374138168621e-05,5.3362416625388e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_9",0.00139514100411822,0.00455342694904465,0.0120734336095165,0.0262260049537149,0.0471867745079727,0.0713378579800045,0.0923012035431359,0.104594011322933,0.106594981706712,0.100229285785093,0.0887366474942341,0.0750716972608886,0.0613549711359464,0.048734341800759,0.0376288057595068,0.028272612588389,0.0208880977995954,0.0154079257248404,0.0114297102400241,0.00855150519331302,0.006577063125217,0.00542952629084201,0.00495061778858392,0.00477848812449831,0.0044475872873601,0.00369993109021841,0.00267535500671066,0.00172661253142201,0.00108513366719423,0.000738645544322908,0.000542403318424287,0.000381266856511776,0.000229852141294424,0.00011235550925536,4.35112815074134e-05,1.32140768947505e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_10",0.00268847476713137,0.00655427037663129,0.0137828166233825,0.0251550033201295,0.0401814299616441,0.0567732698075738,0.0719063902981659,0.0829673163214275,0.0887385429657349,0.089400348114879,0.0858693493414107,0.0792139025547877,0.0704171095393744,0.0603898636351721,0.0500024046520506,0.0400702893832583,0.0312614347580874,0.0239510568536132,0.0181724685698456,0.0137277904699366,0.0103871239709685,0.00798639254633154,0.00637863712202302,0.00533457070768458,0.00455894887834996,0.00382026445565372,0.00305182021243314,0.00231732113711002,0.00169657653512352,0.00121266581235842,0.000841066888614332,0.000551854095678364,0.000331909741472388,0.000178077283981893,8.3589770103789e-05,3.38889925168568e-05,1.17595353595009e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_11",0.00274093783536152,0.00610580381083076,0.0119648019900888,0.0207745981222581,0.0322596832992733,0.0453258381189669,0.0584181498884745,0.0700449709177601,0.0790963951089469,0.0847802095533804,0.0865054320734229,0.084012046057831,0.0776142269165988,0.0683085967865908,0.0575054955797984,0.046613279320169,0.03669753715468,0.0283439481683346,0.0217234599240826,0.0167336195576891,0.0131345429915565,0.010622159982844,0.0088506861621893,0.00748466679052143,0.00626843676295553,0.00508715123049104,0.00395887142873858,0.00295814029876423,0.00213722909193477,0.00149854405057475,0.00101308561097302,0.000649704270337004,0.000387350642343725,0.000210637599621184,0.000102790117638864,4.44868126311687e-05,1.68981845617238e-05,5.58778678443963e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
