"BMI_9","BMI_10","BMI_11","BMI_12","BMI_13","BMI_14","BMI_15","BMI_16","BMI_17","BMI_18","BMI_19","BMI_20","BMI_21","BMI_22","BMI_23","BMI_24","BMI_25","BMI_26","BMI_27","BMI_28","BMI_29","BMI_30","BMI_31","BMI_32","BMI_33","BMI_34","BMI_35","BMI_36","BMI_37","BMI_38","BMI_39","BMI_40","BMI_41","BMI_42","BMI_43","BMI_44","BMI_45","BMI_46","BMI_47","BMI_48","BMI_49","BMI_50","BMI_51","BMI_52","BMI_53","BMI_54","BMI_55","BMI_56","BMI_57","BMI_58","BMI_59","BMI_60","BMI_61","BMI_62","BMI_63","BMI_64","BMI_65","BMI_66","BMI_67","BMI_68","BMI_69","BMI_70","BMI_71","BMI_72","BMI_73"
"Age_2",0,0,0.000132483661463725,0.00490967775959461,0.0447291442933366,0.145133070311767,0.248011741715613,0.252313228362965,0.166220244997933,0.073520494704301,0.031991134972775,0.0125655082711149,0.00549151816357912,0.00388094564508719,0.00256191987428809,0.00242044307916538,0.00159238487336298,0.00154629079427049,0.00193459329701245,0.000322066356324225,0.000347396965380136,0.000343294884220826,3.24170164446063e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_3",0,0,0.000147908758813745,0.00488300086286395,0.0447703211062201,0.146817651375579,0.24108239458592,0.237528386144284,0.157737895855322,0.0751891195547998,0.0383424106604813,0.019913400646919,0.0100787386230088,0.00922994113696595,0.00510586071064968,0.00227297298712947,0.00135217791728156,0.00161973627669414,0.00257295369160377,0.000734025333967664,0.000309179839198681,0.000280846415543697,3.1077516753491e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_4",0,0,0.000241805196901412,0.00627680065096209,0.046539144696279,0.143642588230122,0.235757382998023,0.22883290966312,0.155989132845455,0.0776197025194402,0.0395452222915171,0.0228140374985574,0.0134538251282561,0.0108313859410462,0.00517623106689908,0.00200382677290024,0.00121891497174721,0.00225544339604277,0.00403902241064909,0.00107822767138647,0.000455527237647848,0.00092818094480233,0.000301186857024046,1.18156685198876e-05,1.51279886597832e-06,8.70047331211368e-05,0.000536318777750415,0.000340458256267507,2.23907766973976e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_5",0,0,0.000258652416122971,0.0060560406194371,0.0443121150103502,0.134834996435883,0.21971912007853,0.218105828886917,0.1505522866356,0.0823694617585486,0.0502351646730709,0.0303694286001318,0.0162910538603613,0.011358352980144,0.00666639982293755,0.00688284993786086,0.00591400084798781,0.00361642777021976,0.00431922837801858,0.00256783292459399,0.000948456956139364,0.00089834160497838,0.00133969433234474,0.00134081089102608,0.000197881168710814,8.49730671890574e-05,0.000446168773221369,0.000291667708319102,2.27638613550111e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_6",0,0.000157054968439975,0.000909171812219366,0.00638524005230126,0.0426418421158865,0.130271709306068,0.21163966521496,0.209808868457691,0.148348724401248,0.0837689570841018,0.0507243260503098,0.032983751879829,0.0200710657254831,0.0160310774087647,0.00910915689854788,0.00827807501646672,0.00830926538668439,0.00539783829998377,0.00424466783956634,0.00264239759414074,0.0023127898859107,0.00229435997373427,0.00149277838969361,0.00120629469482141,0.000201259157187752,8.55069383006734e-05,0.00039415984542078,0.000265309705575944,2.46858966628563e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_7",1.70905305547858e-05,0.000214072333054076,0.0012582968515823,0.00909881971798552,0.0464654928535784,0.12355151539707,0.186906980620958,0.181961647081052,0.132668801394739,0.0838853673490953,0.0584212460949457,0.0456208665922152,0.0346376159366473,0.0261000719068756,0.0178046222349112,0.0132327796138455,0.0099226366523872,0.00756459311305737,0.00655906118802151,0.00475005807101024,0.00301287885016503,0.00227185572029005,0.00170554393715794,0.00126059386564826,0.000340344481900072,0.000129581014828819,0.000338106086996334,0.000253849333237539,4.56111761890374e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_8",8.49882039090952e-05,0.000579929903195876,0.00349214872947195,0.0164488418690761,0.0519961480666691,0.107449059680391,0.150628143832687,0.154306346878377,0.127855535778802,0.0945999636623641,0.0691743278037718,0.0535970079064094,0.0430394722675992,0.0337324360242618,0.0246764204419618,0.0176492828099418,0.0128139888566609,0.00956022069741463,0.00756824288677707,0.00580526222280657,0.00408205357296216,0.00283644045311781,0.00208632137514958,0.00152518217007267,0.00110756747072736,0.00105666461724615,0.00100758314939909,0.000729247314767566,0.00037371825784502,0.000117681919865642,1.97711762992262e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_9",0.000590324504427676,0.00263144940135754,0.00930459242532613,0.0254790172850249,0.053689175873725,0.087880439276555,0.114293008061428,0.122525493009967,0.113681327255993,0.096433050259264,0.0787113461604772,0.0638831355177823,0.0518275032905051,0.0414718895996194,0.0322133977835286,0.024134439528496,0.0177528427173058,0.0134451395146906,0.0108031830406926,0.00888709722374965,0.00717640157778504,0.00573341638955165,0.00462428416672573,0.003768436875449,0.00307543686807126,0.0024145561465534,0.001701786585462,0.00102755159664648,0.000523850459456154,0.000220969590077722,7.36888818955013e-05,1.84455480144306e-05,3.32358439676015e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_10",0.00142654169282402,0.0044364070376744,0.0114940317859792,0.0247620866344071,0.0445394861126915,0.0675426446039774,0.0877296861008175,0.0997497815785708,0.101920920970506,0.096177315085504,0.0858164783655315,0.0736381113011681,0.0614169932751205,0.0501441539925533,0.0402914711522505,0.0320114915433709,0.0253170856450156,0.020076702663937,0.0159672538950071,0.012651931759409,0.0100050994653381,0.00801183152198058,0.00653804383904129,0.00534993696418376,0.00428135160294244,0.00327819478751771,0.00234605841694268,0.00152429660919162,0.000872007162221277,0.000427490006122545,0.000175689271184452,5.94668990155484e-05,1.63510860395895e-05,3.60717196294039e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_11",0.00131490609433541,0.00377581363459923,0.00926023758140133,0.019345395893145,0.0345453696474098,0.0531900868924559,0.0716051304614612,0.0858425432960992,0.0935791250782358,0.0947111030216911,0.0905305337072058,0.0826641978002503,0.0724568433818472,0.0610114356425367,0.0494003793163673,0.0387097695534178,0.0298476946088277,0.0232009522036785,0.0185013688012007,0.0150876478997776,0.0123759237808477,0.0100861195489974,0.00812616590190209,0.006431896124047,0.00494279262232721,0.00363421248980848,0.002515140091641,0.00160637959172106,0.000924537103658271,0.000468131475802708,0.000204055905437293,7.51672351362885e-05,2.30895544630349e-05,5.85405826658062e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
