"BMI_9","BMI_10","BMI_11","BMI_12","BMI_13","BMI_14","BMI_15","BMI_16","BMI_17","BMI_18","BMI_19","BMI_20","BMI_21","BMI_22","BMI_23","BMI_24","BMI_25","BMI_26","BMI_27","BMI_28","BMI_29","BMI_30","BMI_31","BMI_32","BMI_33","BMI_34","BMI_35","BMI_36","BMI_37","BMI_38","BMI_39","BMI_40","BMI_41","BMI_42","BMI_43","BMI_44","BMI_45","BMI_46","BMI_47","BMI_48","BMI_49","BMI_50","BMI_51","BMI_52","BMI_53","BMI_54","BMI_55","BMI_56","BMI_57","BMI_58","BMI_59","BMI_60","BMI_61","BMI_62","BMI_63","BMI_64","BMI_65","BMI_66","BMI_67","BMI_68","BMI_69","BMI_70","BMI_71","BMI_72","BMI_73"
"Age_2",0,3.1010071428337e-06,0.000169532450625332,0.003025617472431,0.0266351655660911,0.115969466570901,0.255217306640707,0.297238376349348,0.176536431046522,0.0741117363292047,0.0245870680659519,0.00644060217385955,0.005621066414062,0.0043660049044002,0.00508263134282519,0.00228072348602747,0.000446878539494993,0.00134243916578217,0.000880195086520263,4.56573881037705e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_3",0,2.26147887578335e-06,0.000125484921618088,0.00264450487819055,0.0251903754961731,0.112691115874616,0.260565932680283,0.292388159863349,0.168357424849025,0.073351933178905,0.0316521267105751,0.00971766832443235,0.00553009859798603,0.00393511036009853,0.00463229498499401,0.00406933309626131,0.00299231618026843,0.00139931591449222,0.000729566811488517,2.49757983681219e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_4",0,0.000106980716023555,0.000295530837396338,0.00289874664752934,0.0269290078362125,0.113552955601838,0.25769327358314,0.280540563729788,0.162046101116496,0.0765999023753612,0.0375394864666837,0.011909219220834,0.00677604338711589,0.00596457575430981,0.00558083132849025,0.00408226800211673,0.00312101681964831,0.00155421589800017,0.000647265624977879,0.000158007324370254,0.00027743839304755,4.63957583897269e-05,0.000220718781828694,0.00108477291177455,0.000374681884627676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_5",0,9.36755195545466e-05,0.000262140148116385,0.00274869324575637,0.0262872476500511,0.109540358770822,0.244302734576942,0.268492812137076,0.159373311872189,0.0800439188838358,0.0417033077322378,0.0187923679201123,0.0114024195141443,0.00942451589951475,0.00900868660802509,0.0080436474057738,0.00399587511271246,0.00174217564696602,0.00149988670539647,0.000758545996251177,0.000703528803505012,0.000291423481541531,0.000200603711423968,0.000951956442391421,0.000336166215660477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_6",2.26802251492537e-06,8.19241485295929e-05,0.00024442263439837,0.00285207903514279,0.0255998794742766,0.101897715188966,0.22853747197697,0.25415613594753,0.159595992436493,0.0882498507272644,0.0500954930318888,0.0256882930285522,0.0155995354186181,0.0123878109523479,0.0119621412416956,0.00988820005587931,0.00472674587639159,0.00237181512844512,0.00234351099689261,0.00146932377165648,0.00065970878065967,0.000265262357423121,0.000202132487199081,0.000798461319158059,0.000312179747937582,1.16462131684375e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_7",3.97601026702766e-06,8.00337620618568e-05,0.000340135844598942,0.00432334032025856,0.0286325879463039,0.102283279896988,0.210750792986891,0.231130628292185,0.15296787329242,0.0895348614012249,0.057298797111748,0.0350537246064913,0.021497127470976,0.0175553192652891,0.0156221256860058,0.0115244015747514,0.00691861508302304,0.00390182660579337,0.00248096756300297,0.00151919134314402,0.0011440558693589,0.00196519013752354,0.00143535979887863,0.000877135642371134,0.000386816228289927,0.000104753491279222,0.000272525525884099,7.88039147736028e-05,5.81149270339989e-06,0.000101011995159419,0.000184171393281288,2.47584470731374e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_8",1.02663524190466e-05,0.000101810796552966,0.000775275080145789,0.00652752917807433,0.0309634285563857,0.0935131311054065,0.17399268833839,0.195194121051465,0.150031802633032,0.102599864472181,0.0721183954056913,0.0489833993284548,0.0329108338090085,0.0257334147156416,0.0205302954565724,0.0146126877482222,0.00974717639961739,0.00682281997855518,0.00427250192485787,0.00255140717077223,0.00188977936602929,0.00203646200518517,0.00171978366761083,0.00110491126053342,0.000464965269083048,0.000172045969057707,0.000215825289372267,9.42043527363577e-05,1.90116243126567e-05,0.000100629325190698,0.000150142099326683,3.93902701154734e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_9",2.36296852757794e-05,0.000240577143122739,0.00172377739535442,0.00921875895226964,0.0335586768018554,0.0839135997705618,0.141057046270504,0.162234262943466,0.141812295799635,0.111395361565118,0.0856291324312196,0.0626864767221259,0.0439758501750442,0.0321946661401863,0.0248393653503732,0.0187774870987604,0.0136737903071956,0.00991868241429535,0.00692255188432707,0.00443511448917347,0.00307858203106495,0.00260731017037688,0.0020930535827193,0.00127788634934577,0.00056643264751145,0.000254208566551406,0.000259394413528503,0.00034766671187577,0.000459338770704886,0.00045382052639838,0.000275796015705973,8.70119146278243e-05,8.39495972458548e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_10",0.000167539652966431,0.000862395577097148,0.00365671489311306,0.012566993893059,0.0338437164374682,0.0695342280998683,0.107612537754402,0.128957978364521,0.128120715370021,0.113923258220156,0.0950144162352614,0.0753611274957203,0.0576718881228912,0.0440834810336135,0.0341180870577208,0.0260942275914722,0.0190552046463236,0.0132190310720713,0.0091621084426861,0.00662471656563955,0.00489813027457612,0.00366303138876996,0.00278584367547629,0.00200700848552084,0.00125870319806716,0.000713912573969736,0.000482588217352604,0.000495864254041196,0.000568448085265612,0.000515862344654788,0.000329337921076036,0.00013967869375741,3.6835189278422e-05,5.87525090959974e-06,6.23511586957569e-07,2.22764839732312e-06,1.57500565117816e-05,7.4238011426676e-05,0.000229872847294317,0.000468660880962074,0.000628228224915052,0.000554112757991239,0.000321353495076387,0.00012264868734913,3.07977997004852e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_11",0.000351455582029137,0.00137305771095238,0.00457600501658838,0.0129522918256839,0.0304728067390343,0.0580111461104496,0.0882098576082343,0.109468478313651,0.116647833323967,0.112374808570117,0.100750980786622,0.0847708518845767,0.0675619688204072,0.052208368376115,0.0401323870449334,0.0310342665545008,0.0236486811149494,0.0171807381317044,0.0120173127345511,0.00844292790058664,0.00611806693933873,0.00462280949104901,0.00359758098154667,0.00274445709227898,0.00201515637707856,0.00153788081321322,0.00130727672120677,0.00114478769618492,0.000926363727933878,0.000659376562275426,0.000393634586546699,0.000183636127788183,6.28532203878361e-05,1.57767732199672e-05,4.22012678152485e-06,9.88426650969549e-06,3.88789050090861e-05,0.000117198963777489,0.000263005088827319,0.000437245914900251,0.000539008688300431,0.000492787091378066,0.00033405127359749,0.000167934618288049,6.2599072443531e-05,1.73047304855499e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
