"BMI_9","BMI_10","BMI_11","BMI_12","BMI_13","BMI_14","BMI_15","BMI_16","BMI_17","BMI_18","BMI_19","BMI_20","BMI_21","BMI_22","BMI_23","BMI_24","BMI_25","BMI_26","BMI_27","BMI_28","BMI_29","BMI_30","BMI_31","BMI_32","BMI_33","BMI_34","BMI_35","BMI_36","BMI_37","BMI_38","BMI_39","BMI_40","BMI_41","BMI_42","BMI_43","BMI_44","BMI_45","BMI_46","BMI_47","BMI_48","BMI_49","BMI_50","BMI_51","BMI_52","BMI_53","BMI_54","BMI_55","BMI_56","BMI_57","BMI_58","BMI_59","BMI_60","BMI_61","BMI_62","BMI_63","BMI_64","BMI_65","BMI_66","BMI_67","BMI_68","BMI_69","BMI_70","BMI_71","BMI_72","BMI_73"
"Age_2",0,1.77200408161925e-06,0.000122503238317925,0.00278745020445847,0.0268167984019674,0.113557901914169,0.253676616524821,0.300599245191051,0.175477716314422,0.0726969222261683,0.0245728865084286,0.00674284537025804,0.00617656248377071,0.00512273855573343,0.00601990737636054,0.00254655680619306,0.000387290509672356,0.00154188583207103,0.00109532880292524,5.70717351297131e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_3",0,1.29227364330477e-06,8.49486137236434e-05,0.00227901467492552,0.024514156378983,0.110160364253842,0.259079572531048,0.295212290557541,0.167260583222758,0.0724411498886704,0.0318247899620455,0.0102322234037012,0.00611121437231419,0.00441415534827897,0.00548763935897279,0.00483141398152969,0.00351911322627809,0.00160683099512029,0.000908027208664481,3.12197479601523e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_4",0,6.11318377277457e-05,0.000188526767067413,0.00256909341072862,0.0259938792316728,0.109873789488629,0.254470347457748,0.282345246479317,0.160730170868388,0.0769262879639387,0.0390656491167413,0.0129030400989258,0.00762624418455312,0.00695602547178083,0.00671385428830763,0.00468711516014251,0.00356122533838893,0.00182010895730507,0.000805745061089138,0.000197509155462818,0.000346797991309438,5.79946979871587e-05,0.000275898477285868,0.00135596613971819,0.000468352355784595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_5",0,5.35288683168838e-05,0.000169104300770434,0.00247494249981326,0.0256170036477569,0.105619874326582,0.240115748372324,0.270110784179494,0.157773702150693,0.0810654643358279,0.0433346573318485,0.0189788014248492,0.0124925691273419,0.0100697240892393,0.0103712266271168,0.00955174253362277,0.00467660490963062,0.00207063302446996,0.00187140309162059,0.000931040654551143,0.00059493144511635,0.0001956050971699,0.00025075463927996,0.00118994555298928,0.000420207769575596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_6",1.29601286567164e-06,4.68137991597674e-05,0.000165674665919716,0.00266285643667132,0.0251901197426217,0.0984421039690666,0.224236077098894,0.254008591301823,0.157468473983554,0.0893989195788899,0.0520798634793688,0.0259520408227047,0.0168071785479072,0.0132983087451934,0.013907593863867,0.0113508869950212,0.00536789004405098,0.00282451650696749,0.00278769499767466,0.0016037867689819,0.000565859636644163,0.000182028733957302,0.000248565167865435,0.000998076648947574,0.000390224684921977,1.45577664605469e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_7",2.27200586687295e-06,4.5733578321061e-05,0.000280811927688612,0.00422301096413415,0.0287102816646327,0.099757784788325,0.205685545248938,0.229390240175435,0.151630053344576,0.0900831367823599,0.0590269074507633,0.0356345416906047,0.0224407759361107,0.0182951211822382,0.0178340136529033,0.0133200671412227,0.00775220358254884,0.00418994652452771,0.00284191753248818,0.00167180030408008,0.00115368621643645,0.00225784672801201,0.00177829469448841,0.00107218426625417,0.000458855072938038,8.17773904634409e-05,0.000155728871933771,4.50308084420587e-05,3.32085297337137e-06,5.77211400910968e-05,0.000105240796160736,1.41476840417928e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_8",5.86648709659804e-06,7.12213951051895e-05,0.000735780498423371,0.00652242528014878,0.0308364783850795,0.0909807618244742,0.169027873789798,0.191345510119221,0.147684559461675,0.103238057376594,0.0743838380255699,0.0499401622066468,0.0336274842323112,0.0272357164535271,0.0232792247822429,0.0167864494889677,0.0108479882112603,0.00753388145176662,0.00477511588132143,0.0027087818553972,0.00194720593647265,0.00226602740700081,0.00197338602134574,0.0012180666575107,0.000523245240261789,0.000151061267322376,0.000123328736784153,5.38310587064901e-05,1.08637853215181e-05,5.75024715375417e-05,8.5795485329533e-05,2.25087257802705e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_9",1.35026773004454e-05,0.00021313080596222,0.00170509011641611,0.00925701828129422,0.0331980156956895,0.0817346090143908,0.137163900818908,0.158539233279648,0.139188795824031,0.110684185987493,0.0865089592126961,0.0635531640825786,0.044789952312582,0.0338758732824548,0.0275878552382477,0.0213129527094153,0.0152012438055352,0.0108661570916162,0.00760818706426956,0.00473191121690116,0.00316197078511752,0.00276482018497971,0.00224425766309856,0.00136164251864989,0.000611841368276248,0.000235743701236587,0.000195767416614354,0.00033265937828782,0.00051839395232724,0.000497178050002673,0.000264335067533919,7.28542766018675e-05,4.79711984262028e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_10",0.0001810267998835,0.000934427980125863,0.00388415545073017,0.0128997334795159,0.0335441467668144,0.0672112871946895,0.103007526928253,0.123792739687484,0.124228076935274,0.112054479770588,0.0948911328405123,0.0762317234548265,0.059310608461884,0.0466999887591249,0.0374849792806092,0.0292241692308954,0.0211770891590134,0.0144370693800392,0.00985688841963786,0.00701475838074754,0.00515467093039942,0.00392074378675671,0.00305440271990584,0.00223315150347346,0.00139260425604151,0.000741675128100182,0.000444040629791906,0.000444005193537223,0.000526280140882121,0.00048454084210442,0.000307600553635138,0.000129322715054441,3.45238175236213e-05,5.78702063148105e-06,7.79389483696961e-07,2.7845604966539e-06,1.9687570639727e-05,9.27975142833449e-05,0.000287341059117897,0.000585826101202592,0.000785285281143815,0.000692640947489049,0.000401691868845484,0.000153310859186413,3.84972496256065e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_11",0.000402779536114155,0.00154885604903525,0.00501179767122496,0.013603962288872,0.0305880147766558,0.0561596169182867,0.0838498736771349,0.104028217130749,0.112094388626182,0.109613599100596,0.0996606803755319,0.0849762828561781,0.0688969505689281,0.0546056865813683,0.043257235260279,0.0341093012062519,0.0260213161297243,0.0187623839574714,0.0130013137901294,0.00906058737543606,0.00658890038755497,0.00507476270939519,0.00403850403311718,0.00313255481291487,0.00231019861509038,0.00171680317298656,0.00138266600735523,0.00116344231806349,0.000927790981658172,0.000655235400266983,0.000388086087443461,0.000181790141450751,6.41668957680595e-05,1.71061354108908e-05,5.27515847690606e-06,1.23553331371194e-05,4.85986312613576e-05,0.000146498704721861,0.000328756361034149,0.000546557393625313,0.000673760860375539,0.000615983864222582,0.000417564091996863,0.000209918272860062,7.82488405544138e-05,2.16309131069374e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
