"BMI_9","BMI_10","BMI_11","BMI_12","BMI_13","BMI_14","BMI_15","BMI_16","BMI_17","BMI_18","BMI_19","BMI_20","BMI_21","BMI_22","BMI_23","BMI_24","BMI_25","BMI_26","BMI_27","BMI_28","BMI_29","BMI_30","BMI_31","BMI_32","BMI_33","BMI_34","BMI_35","BMI_36","BMI_37","BMI_38","BMI_39","BMI_40","BMI_41","BMI_42","BMI_43","BMI_44","BMI_45","BMI_46","BMI_47","BMI_48","BMI_49","BMI_50","BMI_51","BMI_52","BMI_53","BMI_54","BMI_55","BMI_56","BMI_57","BMI_58","BMI_59","BMI_60","BMI_61","BMI_62","BMI_63","BMI_64","BMI_65","BMI_66","BMI_67","BMI_68","BMI_69","BMI_70","BMI_71","BMI_72","BMI_73"
"Age_2",0,0.000322760567587567,0.00238196210232809,0.00945550941929344,0.0367128764510621,0.11515066307746,0.213182718002562,0.240317779877909,0.188251324072244,0.108113985697787,0.0454192378314739,0.0148525732817887,0.00751709461160989,0.00917256127725842,0.00685433744227923,0.00204690520194879,0.000239901358140979,7.8097272661581e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_3",0,0.000311641317060073,0.00238645442847137,0.0105327898822639,0.0400087686242061,0.116492401767803,0.207758081642134,0.228969981279204,0.177589641866008,0.10661245448586,0.0523025119266151,0.0231761009482398,0.0134149497817716,0.0108556021809446,0.00662397744216789,0.00234639557772692,0.000555989525377817,6.22573241466012e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_4",0,0.000494818782764401,0.00318204578580776,0.0122507452161234,0.0411931528013317,0.110698044707771,0.191606817949635,0.212685818534263,0.1689937168081,0.10833456434853,0.0598255909131864,0.0311004237906207,0.0205929056959547,0.0157210504283164,0.00974457266423898,0.00569434893645073,0.00285280759987357,0.000718451520050746,0.000395763216493353,0.00119764062654202,0.0016534466256461,0.000881820749529936,0.000181452298769585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_5",0,0.000468748549395571,0.00309892147558257,0.0122612675723882,0.0409139745073856,0.10667610441727,0.182295569275622,0.205173585663104,0.167934929100976,0.110117586219308,0.0629150160063155,0.0363573680474821,0.0255828853429722,0.0183933808588914,0.0109635011732599,0.00639029536777594,0.00331749886886096,0.00125697398834669,0.00101290403349499,0.00170565661318277,0.00196334487689254,0.000999029211775686,0.000201458829717844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_6",5.42921498288362e-05,0.00057885430705771,0.00325357524924791,0.0125130481774883,0.0403020595584933,0.0992596864075953,0.165975588791537,0.191322987593906,0.165602240602062,0.116487166012681,0.0708534050276058,0.0418309732629619,0.0282711405155265,0.0212130769534096,0.0147103576295352,0.00940823846669397,0.00633947924227197,0.00413996065252066,0.0025846222130548,0.00216963978625549,0.00190231404880202,0.000969243086584269,0.000232983039962412,2.50672249176139e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_7",0.000176206968389986,0.00114392628714316,0.00489789990839908,0.0164416552063107,0.0447080491371807,0.093352365301652,0.144199074066432,0.167776235865572,0.154899807345056,0.11985859536761,0.0818806814685319,0.053068775635192,0.0352371567395312,0.024379720987083,0.0172151729654876,0.0128467241054017,0.0100601556395309,0.00715641436519475,0.00441227247612998,0.00282922953662961,0.00194979328770429,0.00106523031047836,0.000369688623234044,7.51684061256179e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_8",0.000584754081923825,0.00237485060458604,0.00787617438313943,0.0215805541911519,0.0481475341997002,0.0859811318447741,0.122552969470097,0.141370411281932,0.135572634111032,0.112202056102046,0.084204669285111,0.0608527161899239,0.0446592866414613,0.0341094608235769,0.0270177184275882,0.0215374528134947,0.0163418052460693,0.0112501224270877,0.00704661073741829,0.00428610485367051,0.0027402410821973,0.00195808262898544,0.00166720117745345,0.00155004328291377,0.00126433448492986,0.000785049206336594,0.00035107053415359,0.000110544099119291,2.44157881263139e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_9",0.0013915081641473,0.00438852923016757,0.0115857324189874,0.0256821193331822,0.0478544231651704,0.075218945273629,0.100573996238169,0.11596832382698,0.117473689102563,0.106984108839637,0.0900784051233883,0.0723049069839459,0.0568527205232526,0.0445603609225097,0.0349949651133596,0.0272598615450117,0.0205444029609801,0.0146154345299789,0.00979123904687388,0.0063519584108445,0.00416647385014026,0.00289655033796468,0.00223970997884494,0.00189834614270942,0.00158785454804996,0.00118844744361952,0.000768462544723442,0.000432385944520057,0.000214037056117005,9.20960621240198e-05,3.06137859141046e-05,9.39155249484594e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_10",0.00187449709332914,0.00502099403803572,0.0116659583949415,0.023564331885356,0.0414178071583048,0.0634485589168768,0.0851871336381774,0.101215473473908,0.107799030739754,0.104548601100368,0.0939739225397523,0.0797733136161004,0.0650490476885589,0.0516230229164693,0.0402331305356534,0.0309301120665138,0.0234080486535511,0.0173061813171,0.0124062696945704,0.0086088652996704,0.00583291195004948,0.00398394334254088,0.00290434688251748,0.00235508383659673,0.00209391999304388,0.00200957313261228,0.00209109037777145,0.00225923136051296,0.00230326382264429,0.00204149783541099,0.00150418677343809,0.00090269650801046,0.000437401796760079,0.000170502134832096,5.34723380074795e-05,2.57714825960878e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_11",0.00178105807202241,0.00444332259349574,0.00978731405376638,0.0190571328859418,0.0328516282362089,0.0503022442333032,0.0687956707476631,0.0847155697929461,0.0948960603021999,0.0978569407208948,0.0940848045678688,0.0854040174457569,0.0740186705132196,0.0618027391055477,0.0500211758428311,0.0393784899973504,0.030216825212186,0.0226904230369916,0.0168131795157366,0.0124435956757214,0.00932602152263178,0.00717554260197091,0.00571065223760373,0.00466999019571037,0.00387411501196613,0.0032816548857035,0.00292190070009622,0.00274717428419862,0.00258485516650347,0.00225960019560896,0.00174206929678935,0.00115628052043104,0.000657440434574771,0.000322352286405456,0.000138308654206155,5.28962123016874e-05,1.34447408663034e-05,4.83850077932056e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_12",0.00119094922219493,0.00298505837834301,0.00666584084989329,0.0132882956286689,0.0236875011355429,0.0378485522067838,0.0543984672749918,0.0707436927578636,0.0839261136390384,0.0917789269752051,0.0936125830714205,0.0899767719705846,0.0820891124938849,0.0714391872102759,0.0595850804276841,0.0479323221479436,0.0374712948173017,0.0286841276585158,0.0216662695407103,0.0162959677068496,0.0123458718766322,0.00954708890355923,0.00760712782481072,0.0062346652077403,0.005202507242825,0.00440170073868323,0.00380766051990342,0.00337344863016375,0.00297478681819628,0.00248324784821511,0.00188373731977616,0.00129034328045603,0.000844465203711784,0.000604640652432588,0.000521198840178347,0.000490561214815951,0.000430951366398295,0.000324699363362426,0.000201859865693502,0.000104195884904277,4.39679198815522e-05,1.51583639627461e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
