"BMI_9","BMI_10","BMI_11","BMI_12","BMI_13","BMI_14","BMI_15","BMI_16","BMI_17","BMI_18","BMI_19","BMI_20","BMI_21","BMI_22","BMI_23","BMI_24","BMI_25","BMI_26","BMI_27","BMI_28","BMI_29","BMI_30","BMI_31","BMI_32","BMI_33","BMI_34","BMI_35","BMI_36","BMI_37","BMI_38","BMI_39","BMI_40","BMI_41","BMI_42","BMI_43","BMI_44","BMI_45","BMI_46","BMI_47","BMI_48","BMI_49","BMI_50","BMI_51","BMI_52","BMI_53","BMI_54","BMI_55","BMI_56","BMI_57","BMI_58","BMI_59","BMI_60","BMI_61","BMI_62","BMI_63","BMI_64","BMI_65","BMI_66","BMI_67","BMI_68","BMI_69","BMI_70","BMI_71","BMI_72","BMI_73"
"Age_2",0,0.000268967139656306,0.00196107147809735,0.00792121475479946,0.0339916723810461,0.114213334168786,0.228668791997247,0.2631889655859,0.182158324238382,0.0946339372370419,0.038064671308419,0.0115194689997569,0.00633293428037961,0.00746863069202164,0.00635034326696409,0.00197754715608016,0.000192698867726968,0.000602604906818727,0.00046072458604396,2.40969548325455e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_3",0,0.000259701097550061,0.00193963027333969,0.00835178749659289,0.0346294433189284,0.113096651692873,0.225913061355001,0.253232992795209,0.17354100519276,0.0950828374785971,0.0457664963598194,0.0187015091955593,0.0103341122598058,0.00806500149284736,0.00574751029736563,0.00282437146941108,0.00149087582824952,0.000627839256430346,0.0003819914682997,1.31816713609532e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_4",0,0.000412348985637001,0.0025857396857976,0.00977458959849573,0.0360413488268356,0.108718976061828,0.211771555787289,0.236353635839455,0.164870600736936,0.0979604797792336,0.0539419295401654,0.0256789023411267,0.0165629376056044,0.0131189658621802,0.00856568506177185,0.00474893968942245,0.00274453397013314,0.00109384715183802,0.000651953058434758,0.00108142660998043,0.00152429800659129,0.000759337274869525,0.00026770071716202,0.000572519036769903,0.000197748772442385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_5",0,0.000390623791162976,0.00244193807563335,0.00939369833125955,0.0353013309881831,0.104588458504473,0.201105528245488,0.228094600955647,0.1636350319718,0.101176371132204,0.0577264862751923,0.0312514576657223,0.0219583321916887,0.0157564975388198,0.0104841458556589,0.00686612991277355,0.00317589325612512,0.00118647637655121,0.00108376205653638,0.00131642517471914,0.00142973095075749,0.000708507596766132,0.000248730638866164,0.000502421455706583,0.000177421058265252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_6",4.52434581906968e-05,0.000467666094988671,0.00250017192292462,0.00947308961313919,0.0346937890414984,0.0969024913844239,0.183841040376916,0.21288717286504,0.163164026108811,0.10956987291076,0.0667671760713944,0.0374621887043641,0.0252534188801984,0.0187057994317678,0.0142693270709124,0.00914186332262844,0.0050613136872814,0.00319054433532691,0.0022453852045233,0.00158645875947936,0.00124570052262144,0.000652686967557431,0.000263405673599606,0.00043925944551372,0.000164761533633724,6.14661250556423e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_7",0.000146839140324989,0.0008621561047179,0.00351587607091835,0.0122836370340999,0.0387879950065731,0.0936524190950084,0.162600827221739,0.188924662958336,0.155561871614684,0.112730457204218,0.0770819751806202,0.0487332911051942,0.031500605537365,0.0216864326928953,0.0167242524104195,0.0120383882490036,0.00828470317522772,0.00527623803021128,0.00317696663514342,0.00186747128291303,0.00138010870811464,0.00150771493607193,0.000979548939942758,0.000493545181198676,0.000184968955267395,1.70475297919109e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_8",0.000445999974672098,0.00172970239033474,0.00564485205575703,0.0165190213113744,0.0418446298920547,0.0857789987723892,0.135421879882786,0.156830331645728,0.140109079127092,0.111506763937019,0.0837398657450421,0.0589194951365006,0.0418655783056024,0.0322110032568513,0.0260813013422267,0.0198014058232759,0.0139540960881328,0.00934178304660362,0.00552857422712084,0.00297289891595398,0.00194763382520267,0.00194244224705333,0.00190718154393128,0.00164612320772979,0.00121957808514976,0.000686376869317921,0.000290936772393075,9.21200825994093e-05,2.03464901052616e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_9",0.000953521983411974,0.00300069526538819,0.00822890743517152,0.0200473010893956,0.042599704050419,0.0764692423257805,0.111677863293395,0.129857702637519,0.125348426740489,0.109729252704186,0.0907830320130204,0.0707683495173091,0.0535694226392084,0.0414644810200198,0.0329274472792475,0.0252824617217282,0.018231845554336,0.0126179231567207,0.00833507969025198,0.0051375798704842,0.00333879052353577,0.00263885282770588,0.00218185719997356,0.00168725002587245,0.00119629794338435,0.000732298125507868,0.000394806981693498,0.000254286216182204,0.000247392302065079,0.000196917456862244,8.30179344348377e-05,1.79924753001972e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_10",0.00117622543911286,0.0034040809597397,0.00870879626575873,0.0196093217301496,0.0382925669470605,0.0638331459670625,0.0900051227301595,0.108088415104335,0.113606342607998,0.108297856387102,0.0959726775653922,0.0801719328140453,0.0643870900292104,0.0509908024371391,0.0400933105699823,0.0306648097806086,0.0223669501225462,0.0156723551514051,0.010789708793775,0.00738780243247212,0.0050836243783713,0.00362874023530288,0.00274721498643722,0.00214239446882514,0.00166012751507158,0.00135807286363412,0.00134513960909868,0.0015536992984947,0.00171625870671729,0.00158930698800138,0.001178740568433,0.000695454633833195,0.00032802573569052,0.000124156454940068,3.77875614593031e-05,1.17570332080942e-06,8.3125298256625e-06,3.91811726974123e-05,0.000121321780516445,0.000247348798285539,0.000331564896482944,0.000292448400050932,0.000169603233512538,6.47312516564854e-05,1.62543942863672e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age_11",0.00114141342389458,0.00319631035930284,0.00787121143276859,0.0169637142993117,0.0317832523049348,0.0515850835114913,0.0727895518673517,0.0904381507832312,0.100881537801049,0.103017092472148,0.0977039472344613,0.0870276667771916,0.0737970676973172,0.0605292315353399,0.0484931244016053,0.0378299566525783,0.0284867603340698,0.0207130068069394,0.014790557711383,0.0106541957852424,0.00792845116888353,0.00616272054564103,0.00494300748062029,0.0039681409579003,0.00313285075361928,0.00250446718956627,0.00215698473246459,0.00202262217544859,0.00190770372316366,0.00164550521609863,0.00122331217440867,0.000762550643586405,0.000394265862913556,0.000168527787720653,6.02349921038377e-05,2.22027211060872e-05,2.05194220881288e-05,6.18550086603413e-05,0.00013880824132553,0.000230768677308466,0.000284476807714117,0.00026008207600509,0.00017630483884312,8.8632159652026e-05,3.30383993451969e-05,9.1330522007069e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
