"age_lower","age_upper","sex","race","bmi","n","y"
55,59,"Female","Non_Hispanic_Black","nw",11,0
60,64,"Female","Non_Hispanic_Black","nw",17,0
65,69,"Female","Non_Hispanic_Black","nw",10,0
70,74,"Female","Non_Hispanic_Black","nw",4,1
75,79,"Female","Non_Hispanic_Black","nw",6,0
80,84,"Female","Non_Hispanic_Black","nw",8,0
85,99,"Female","Non_Hispanic_Black","nw",9,1
50,54,"Female","Non_Hispanic_Black","ow",21,0
55,59,"Female","Non_Hispanic_Black","ow",20,1
60,64,"Female","Non_Hispanic_Black","ow",28,1
65,69,"Female","Non_Hispanic_Black","ow",22,2
70,74,"Female","Non_Hispanic_Black","ow",17,0
75,79,"Female","Non_Hispanic_Black","ow",13,0
80,84,"Female","Non_Hispanic_Black","ow",8,0
85,99,"Female","Non_Hispanic_Black","ow",7,3
50,54,"Female","Non_Hispanic_Black","ob",36,0
55,59,"Female","Non_Hispanic_Black","ob",30,1
60,64,"Female","Non_Hispanic_Black","ob",59,1
65,69,"Female","Non_Hispanic_Black","ob",38,2
70,74,"Female","Non_Hispanic_Black","ob",29,2
75,79,"Female","Non_Hispanic_Black","ob",23,2
80,84,"Female","Non_Hispanic_Black","ob",6,1
85,99,"Female","Non_Hispanic_Black","ob",7,1
