"Year","Age","Gender","Race","Prev_Normal","Prev_Under","Prev_Over","Prev_Obese"
1976,3,"Male","Non_Hispanic_White",0.0521513445252701,0.946740715423437,0.0011079400512927,0
1977,3,"Male","Non_Hispanic_White",0.0534485449914383,0.945312775148137,0.00123867986042472,0
1978,3,"Male","Non_Hispanic_White",0.0547457454576065,0.943884834872836,0.00136941966955674,0
1979,3,"Male","Non_Hispanic_White",0.0560429459237747,0.942456894597536,0.00150015947868876,0
1980,3,"Male","Non_Hispanic_White",0.0573401463899429,0.941028954322237,0.00163089928782078,0
1981,3,"Male","Non_Hispanic_White",0.0586373468561111,0.939601014046936,0.0017616390969528,0
1982,3,"Male","Non_Hispanic_White",0.0599345473222793,0.938173073771635,0.00189237890608483,0
1983,3,"Male","Non_Hispanic_White",0.0612317477884475,0.936745133496336,0.00202311871521684,0
1984,3,"Male","Non_Hispanic_White",0.0625289482546158,0.935317193221036,0.00215385852434886,0
1985,3,"Male","Non_Hispanic_White",0.063826148720784,0.933889252945735,0.00228459833348088,0
1986,3,"Male","Non_Hispanic_White",0.0651233491869522,0.932461312670435,0.0024153381426129,0
1987,3,"Male","Non_Hispanic_White",0.0664205496531204,0.931033372395135,0.00254607795174492,0
1988,3,"Male","Non_Hispanic_White",0.0677177501192886,0.929605432119835,0.00267681776087694,0
1989,3,"Male","Non_Hispanic_White",0.0690149505854568,0.928177491844535,0.00280755757000896,0
1990,3,"Male","Non_Hispanic_White",0.070312151051625,0.926749551569233,0.00293829737914098,0
1991,3,"Male","Non_Hispanic_White",0.0716093515177933,0.925321611293934,0.003069037188273,0
1992,3,"Male","Non_Hispanic_White",0.0751627724153374,0.922109194528419,0.00272803305624267,0
1993,3,"Male","Non_Hispanic_White",0.0787161933128815,0.918896777762906,0.00238702892421233,0
1994,3,"Male","Non_Hispanic_White",0.0822696142104257,0.915684360997392,0.002046024792182,0
1995,3,"Male","Non_Hispanic_White",0.0858230351079699,0.912471944231879,0.00170502066015166,0
1996,3,"Male","Non_Hispanic_White",0.089376456005514,0.909259527466365,0.00136401652812133,0
1997,3,"Male","Non_Hispanic_White",0.0929298769030581,0.906047110700851,0.001023012396091,0
1998,3,"Male","Non_Hispanic_White",0.0964832978006023,0.902834693935336,0.000682008264060665,0
1999,3,"Male","Non_Hispanic_White",0.100036718698146,0.899622277169824,0.000341004132030333,0
2000,3,"Male","Non_Hispanic_White",0.103590139595691,0.89640986040431,0,0
2001,3,"Male","Non_Hispanic_White",0.106432833489267,0.893536037848659,3.11286620733006e-05,0
2002,3,"Male","Non_Hispanic_White",0.109275527382844,0.89066221529301,6.22573241466012e-05,0
2003,3,"Male","Non_Hispanic_White",0.11211822127642,0.887788392737361,9.33859862199018e-05,0
2004,3,"Male","Non_Hispanic_White",0.114960915169997,0.88491457018171,0.000124514648293202,0
2005,3,"Male","Non_Hispanic_White",0.117803609063574,0.882040747626058,0.000155643310366503,0
2006,3,"Male","Non_Hispanic_White",0.12064630295715,0.87916692507041,0.000186771972439804,0
2007,3,"Male","Non_Hispanic_White",0.123488996850727,0.87629310251476,0.000217900634513104,0
2008,3,"Male","Non_Hispanic_White",0.126331690744304,0.87341927995911,0.000249029296586405,0
2009,3,"Male","Non_Hispanic_White",0.12917438463788,0.87054545740346,0.000280157958659705,0
2010,3,"Male","Non_Hispanic_White",0.132017078531457,0.86767163484781,0.000311286620733006,0
2011,3,"Male","Non_Hispanic_White",0.131763407713645,0.866779437478127,0.000985519973011494,0.00047163483521591
2012,3,"Male","Non_Hispanic_White",0.131509736895834,0.865887240108444,0.00165975332528998,0.00094326967043182
2013,3,"Male","Non_Hispanic_White",0.131256066078022,0.864995042738761,0.00233398667756847,0.00141490450564773
2014,3,"Male","Non_Hispanic_White",0.131002395260211,0.864102845369079,0.00300822002984696,0.00188653934086364
2015,3,"Male","Non_Hispanic_White",0.130748724442399,0.863210647999397,0.00368245338212545,0.00235817417607955
2016,3,"Male","Non_Hispanic_White",0.130495053624587,0.862318450629713,0.00435668673440395,0.00282980901129546
2017,3,"Male","Non_Hispanic_White",0.130241382806776,0.86142625326003,0.00503092008668243,0.00330144384651138
2018,3,"Male","Non_Hispanic_White",0.129987711988964,0.860534055890347,0.00570515343896091,0.00377307868172727
2019,3,"Male","Non_Hispanic_White",0.129734041171153,0.859641858520664,0.0063793867912394,0.00424471351694318
1975,4,"Male","Non_Hispanic_White",0.0553543029402742,0.943176829259488,0.00104882440568147,0.00042004339455773
1976,4,"Male","Non_Hispanic_White",0.0575342071668214,0.940675299613298,0.00123043536047081,0.000560057859410308
1977,4,"Male","Non_Hispanic_White",0.0597141113933686,0.938173769967109,0.00141204631526016,0.000700072324262884
1978,4,"Male","Non_Hispanic_White",0.0618940156199158,0.935672240320919,0.00159365727004951,0.000840086789115462
1979,4,"Male","Non_Hispanic_White",0.0640739198464628,0.93317071067473,0.00177526822483885,0.000980101253968039
1980,4,"Male","Non_Hispanic_White",0.06625382407301,0.930669181028541,0.0019568791796282,0.00112011571882062
1981,4,"Male","Non_Hispanic_White",0.0684337282995572,0.928167651382352,0.00213849013441755,0.00126013018367319
1982,4,"Male","Non_Hispanic_White",0.0706136325261044,0.925666121736161,0.00232010108920689,0.00140014464852577
1983,4,"Male","Non_Hispanic_White",0.0727935367526515,0.923164592089974,0.00250171204399624,0.00154015911337835
1984,4,"Male","Non_Hispanic_White",0.0749734409791987,0.920663062443785,0.00268332299878558,0.00168017357823092
1985,4,"Male","Non_Hispanic_White",0.0771533452057458,0.918161532797596,0.00286493395357493,0.0018201880430835
1986,4,"Male","Non_Hispanic_White",0.079333249432293,0.915660003151406,0.00304654490836428,0.00196020250793608
1987,4,"Male","Non_Hispanic_White",0.0815131536588401,0.913158473505217,0.00322815586315362,0.00210021697278865
1988,4,"Male","Non_Hispanic_White",0.0836930578853873,0.910656943859027,0.00340976681794297,0.00224023143764123
1989,4,"Male","Non_Hispanic_White",0.0858729621119345,0.90815541421284,0.00359137777273232,0.00238024590249381
1990,4,"Male","Non_Hispanic_White",0.0880528663384817,0.905653884566651,0.00377298872752166,0.00252026036734639
1991,4,"Male","Non_Hispanic_White",0.0902327705650287,0.903152354920461,0.00395459968231101,0.00266027483219896
1992,4,"Male","Non_Hispanic_White",0.0960876244825914,0.897375174983969,0.00414731008554484,0.00238989044789485
1993,4,"Male","Non_Hispanic_White",0.101942478400154,0.891597995047476,0.00434002048877868,0.00211950606359075
1994,4,"Male","Non_Hispanic_White",0.107797332317716,0.885820815110985,0.00453273089201252,0.00184912167928664
1995,4,"Male","Non_Hispanic_White",0.113652186235279,0.880043635174493,0.00472544129524635,0.00157873729498253
1996,4,"Male","Non_Hispanic_White",0.119507040152841,0.874266455237999,0.00491815169848018,0.00130835291067842
